Source,Entry,PLOT,PlotYield,TW,Moisture,Lodging,Ht,HD,WH,Other
NY,NY7088,2102,2389,75.8,11,0,105,28,100,
530,NY99069-204,2103,2215,73.6,11.1,0,95,29,95,
529,NY03015-203,2104,2447,76.5,12,0,95,29,90,
Jen,Jensen,2105,2104,73.6,11.1,0,97.5,31,90,
516,NY03015-165,2106,2489,76.1,11.7,0,97.5,29,90,
446,MD01W233-07-1,2107,2398,78.8,11.5,0,90,27,85,
511,NY03082-156,2108,2510,74.9,13.1,0,95,27,100,
534,NY01005-216,2109,2303,78,11.7,1,105,27,95,
492,NY01067-113,2110,2102,76.3,11.8,3,90,30,100,
442,OH04-264-58,2111,2123,72.1,13.2,0,85,28,100,
566,NY01018-303,2112,2187,76.6,11.6,0,90,27,95,
576,NY99034-324,2113,2553,75.8,11.6,0,90,1,100,
Cal,Caledonia,2114,2455,73.8,11.5,0,95,27,100,
333,96192,2115,2187,78.4,10.9,0,105,25,100,
44,W105-82,2116,2408,76.3,11.7,1,110,28,95,
49,94024,2117,2263,74.1,11.6,0,90,31,95,
Jen,Jensen,2118,2185,74.8,11.4,0,97.5,31,95,
346,97089,2119,1984,76.8,11.7,3,100,28,100,
565,NY99069-289,2120,2539,75.9,11.5,0,90,26,95,
525,NY99048-194,2121,2208,74.2,11.5,0,105,29,90,
407,NY07016-143,2122,2523,73.8,11.4,0,110,30,100,
486,FS 627,2123,2531,74.9,11.6,0,90,25,100,
87,W105-40,2124,2020,78.3,11.7,3,120,1,75,
375,99059,2125,2312,76.1,11.7,0,95,31,95,
358,99023,2126,1946,74.5,11.3,3,95,31,100,
Rich,Richland,2127,2149,75.3,11.5,1,105,28,100,
331,96185,2128,2205,68.6,11.2,3,110,29,100,
493,NY99045-114,2129,1891,70.6,11.2,3,105,26,90,
488,FS 801,2130,2664,72.8,12.1,0,95,26,75,
560,NY01018-276,2131,2310,74.9,11.5,0,85,27,90,
514,99069-160,2132,2123,76.2,11.5,4,97.5,31,95,
467,VA05W-168,2133,2288,79.8,12,1,90,25,85,
Rich,Richland,2134,2382,76.4,11.4,1,110,29,90,
406,NY07015-142,2135,2054,75.9,11.3,1,120,29,80,
472,SW50,2136,2445,78,11.8,0,95,25,75,
432,INW0411,2137,2266,75.2,11.2,0,90,26,95,
532,"NY03110,1,2,5,6-212",2138,1955,75.1,11.4,0,95,29,100,
556,NY01003-268,2139,2222,75.8,11.5,0,100,28,100,
275,NY103-208-7263,2140,2323,77.3,11.9,0,100,31,100,
NY,NY7088,2141,2470,75.6,11.5,1,105,28,95,
127,94052,2142,2261,74.2,11.3,0,100,30,100,
67,W105-137,2143,2500,77.1,11.8,2,110,29,90,
462,GA031238-DH7-7A28,2144,1974,79.1,11.7,0,90,27,100,
519,NY003097&98-177,2145,2020,73.9,11.5,3,100,30,100,
376,99059,2146,2289,75.3,11.6,2,100,30,95,
411,NY07021-148,2147,2375,77.3,11.8,0,110,24,95,
577,NY99069-326,2148,2467,76.1,11.8,3,100,26,90,
312,96021,2149,1919,75.3,11.5,4,110,31,80,
498,"NY03110,1,2,5,6-120",2150,1965,76.2,11.6,0,95,26,90,
84,94052,2151,2040,75.4,11.5,0,90,31,90,
523,NY03093&94-190,2152,2575,74.8,11.5,0,95,28,95,
513,NY03009-159,2153,2573,74.4,12,0,105,1,80,
Cal,Caledonia,2154,2643,75,11.4,0,95,28,90,
574,NY03100-321,2155,2375,75.5,11.5,0,105,30,90,
531,NY99048-205,2156,1925,72,11.2,2,105,31,95,
499,NY99049-126,2157,2115,74.9,11.5,3,100,30,100,
Jen,Jensen,2158,2111,72.7,11.4,0,100,30,95,
510,NY03093&94-150,2159,2373,76.4,11.7,0,110,28,90,
Rich,Richland,2160,2346,75.5,11.4,2,110,28,100,
494,NY01020-116,2161,2597,77.1,11.9,0,105,26,90,
460,Z03-1281,2162,2494,73.7,11.5,3,90,25,90,
584,NY99069-352,2163,2166,72.3,11.5,0,85,26,100,
579,NY99028-334,2164,2396,72.7,11,0,97.5,31,95,
468,VA05W-258,2165,2402,75.6,11.8,0,95,27,90,
112,94061,2166,2276,73.7,11.4,0,95,29,95,
Jen,Jensen,2167,2145,73.7,11.4,0,100,30,60,
549,99068-248,2168,2127,73.9,11.7,1,100,28,90,
198,94032,2169,1931,71,11.6,0,85,29,95,
Rich,Richland,2170,2418,74.9,11.6,1,105,29,90,
575,NY99069-323,2171,2008,73.9,11.2,0,90,28,80,
506,"NY03110,1,2,5,6-142",2172,1742,75.1,11.6,0,92.5,26,80,
416,NY07105-45-153,2173,1517,73.2,11,4,100,28,85,
440,IL04-8445,2174,2477,77.4,12,1,90,26,90,
130,94052,2175,2228,74.4,11.5,0,105,30,100,
438,KY97C-0519-04-07,2176,2763,75,11.9,0,90,28,100,
306,96021,2177,2257,76.4,12,0,100,29,95,
104,94046,2178,1880,71,11.5,0,100,30,95,
536,NY99069-222,2179,2149,74.2,11.5,0,90,28,95,
Cal,Caledonia,2180,2662,74.9,11,1,100,27,90,
478,Ruby red (MSU E1007R),2181,2236,76,11.6,0,95,26,90,
522,NY03015-185,2182,2325,73.6,11.4,0,95,27,90,
206,96056,2183,2219,72.9,11.5,0,100,30,95,
539,NY03100-225,2184,2132,71.9,11.3,0,100,31,95,
415,NY07029-152,2185,1448,69.5,10.8,2,95,27,95,
417,NY07106-167-182,2186,1463,74.7,11.2,4,95,28,90,
554,NY99025-261,2187,1881,74.8,11.3,0,105,26,95,
596,8080x7388-76-417,2188,2071,77.8,12,0,100,28,95,
NY,NY7088,2189,2165,74.9,11.5,0,105,28,90,
455,P99751RA1-6-3-94,2190,2233,75.8,12,0,95,26,80,
424,MSU Line E5028,2191,2274,74.4,11.3,1,90,28,90,
443,OH04-268-39,2192,2387,74.2,11.5,3,105,28,60,
Jen,Jensen,2193,2046,73.2,11,2,100,29,80,
490,NY03015-108,2194,2499,76.6,11.5,0,100,30,90,
526,NY99028-199,2195,2244,73.3,11.3,0,105,29,90,
388,NY03084,2196,2189,73.7,11.6,0,100,28,90,
260,99032,2197,2014,72.1,11,2,110,30,85,
Cal,Caledonia,2198,2350,73.6,11.1,0,95,28,85,
535,NY01008-218,2199,2144,75.9,11.3,2,95,28,85,
437,KY97C-0321-02-01,2200,2493,75.3,11.6,0,90,28,90,
496,NY01066-118,2201,2391,74.2,11.2,0,100,31,95,
558,NY01066-273,2202,2392,75.2,11.1,0,105,28,100,
571,NY99069-312,2203,2070,75.7,11.7,1,95,26,85,
500,NY99049-128,2204,1945,73.8,11.4,0,100,30,85,
475,Truman,2205,2400,76.7,12,1,100,27,75,
587,NY03015-360,2206,2302,74.2,11.6,0,90,29,95,
441,IL04-11003,2207,2198,76.4,12.4,0,95,24,100,
NY,NY7088,2208,2259,76.1,11.7,1,105,28,100,
518,NY03182&183-174,2209,2395,74.5,11.5,0,95,26,95,
272,NY03179FHB-10,2210,2085,76.1,11.8,0,100,26,95,
591,NY01066-367,2211,2580,76.4,11.7,0,100,28,100,
342,97067,2212,1964,75.1,11.7,0,105,28,90,
Rich,Richland,2213,2337,75.1,11.6,1,105,28,85,
448,G89201,2214,2179,76.4,11.9,0,105,25,90,
452,M05*1589,2215,2446,77.6,11.9,0,95,26,95,
292,E3003,2216,2335,75.2,11.7,0,90,1,85,
397,NY03143,2217,2072,75.5,11.6,0,100,28,85,
564,NY01003-287,2218,2501,76.1,11.6,0,90,30,90,
470,AR98023-5-1,2219,2507,75.4,11.9,0,90,27,80,
Cal,Caledonia,2220,2471,74.2,11.6,1,100,27,95,
457,P05219A1-13-16,2221,2334,74.6,11.4,0,85,24,90,
552,NY99028-251,2222,2485,75.7,11.9,0,100,28,90,
502,NY03082-132,2223,1826,67,11.3,0,100,28,75,
349,99008,2224,1863,73.7,11.4,3,105,29,90,
Jen,Jensen,2225,2205,74.9,11.9,1,95,29,100,
497,NY01003-119,2226,2098,68.2,11.6,0,95,28,60,
509,NY99069-148,2227,2148,71.8,11.6,1,90,28,30,
426,TW435-025,2228,2171,74.4,11.3,2,105,27,95,
Rich,Richland,2229,2180,75.7,11.4,1,105,28,90,
225,99068,2230,2081,74.5,11.4,2,105,28,50,
563,NY01066-286,2231,2498,77.2,11.6,0,105,28,100,
NY,NY7088,2232,2246,75.8,11.5,0,105,27,95,
481,Emmit,2233,2405,76.4,11.7,0,100,27,90,
449,G89222,2234,2638,74.7,11.4,1,90,26,85,
555,NY03100-266,2235,2425,74.1,11.6,0,105,30,80,
550,NY99069-249,2236,2273,74.6,11.6,0,90,25,95,
540,NY00012-226,2237,2294,75,11.7,0,110,28,75,
599,8080xCal-105-440,2238,2075,78,12.2,2,120,27,80,
465,Rumor exp.,2239,2172,75.2,11.7,0,100,25,90,
515,NY99056-161,2240,2472,75.7,12,1,100,27,100,
430,Ajax,2241,1957,70.2,11.5,0,90,26,90,
487,FS 652,2242,2140,75.8,11.6,3,90,25,90,
559,NY99069-274,2243,2215,77.7,11.5,1,100,26,80,
421,MSU Line E5038,2244,2366,75.6,11.6,1,95,27,85,
454,M05-1531,2245,2122,76.7,11.5,1,95,24,90,
419,MSU Line E5011B,2246,2385,73.8,11.7,0,90,27,90,
Jen,Jensen,2247,2016,74.7,11.8,0,100,30,90,
311,96021,2248,2072,77.1,11.8,1,115,29,85,
597,8080x7388-160-419,2249,1707,76.4,11.5,3,100,27,95,
429,TWF507-001,2250,2153,75.8,11.6,1,100,30,100,
479,Pioneer 25R47,2251,2542,76.4,11.8,0,90,25,90,
250,99038,2252,2745,76,11.5,0,100,30,85,
524,"NY03102,3,4-192",2253,2033,73.4,11.5,0,95,29,75,
Cal,Caledonia,2254,2089,72.6,11.3,1,100,27,85,
469,AR98022-19-3,2255,2264,77.9,12.2,2,110,24,75,
466,VA05W-151,2256,2637,79.4,12,2,90,24,85,
567,NY03100-307,2257,2669,76.7,10.9,1,105,28,100,
573,NY99027-317,2258,2769,77.2,11.5,0,105,27,95,
602,OH02-12686,2259,1833,75.8,11.3,4,95,28,90,
197,96004,2260,2294,74.1,11.1,3,95,27,95,
538,NY03015-224,2261,2379,76.4,11.7,0,95,28,100,
401,NY07010-137,2262,2215,73.6,11.2,0,100,28,95,
580,NY03082-336,2263,2243,76,11.4,0,97.5,30,100,
307,96021,2264,1942,76.2,11.8,1,115,27,95,
570,NY03015-311,2265,2133,75.1,11.6,0,100,27,95,
101,94025,2266,2083,77,12,1,125,28,95,
Cal,Caledonia,2267,2295,74.3,11.4,0,100,27,100,
483,Pioneer 25R62,2268,2358,73.7,11.5,0,95,25,90,
285,NYW103-119-9115,2269,2036,76,11.7,0,100,27,95,
