GID,Entry,Block,PLOT,Yield,Test WT,Moisture,KC 2016,SECTION,ROW,Planting.Order,Source,KC.2015,CC.2015,Awn.2015,Seg,wh,HD,Ht,leaf angle,Mildew,Lodging,Comments,percent awned,percent bronze chaff
1186,NY01003-1186,2,1052,3428,80.7,12.92,W,3,8,143,2349,W,W,N,,,30,107,1,1,0,,,
MSU23,MSU Line F2033,2,1053,2763,77.9,12.78,W,3,9,178,2382,W,W,A,,,29,112,0,2,0,,,
MSU105,MI14W0007,2,1054,3534,80.6,13.52,W,3,10,183,NA,W,,,,,30,112,0,0,0,,,
OH44,OH13-57-12,2,1055,2889,81.8,13.02,R,3,11,218,2285,R,W,N,,,29,112,0,1,0,,,
602_check,OH02-12686,2,1056,3137,80,13.3,R,3,12,223,checkPlots2015,R,W,N,,,31,107,0,0,0,,,
OH64,OH13-118-29,2,1057,3018,80.2,12.74,R,3,13,258,2341,R,W,N,,,29,97,2,0,0,,,
MSU38,MI14R0352,2,1058,2729,78,12.78,R,3,14,263,2373,R,W,N,,,29,107,0,0,0,,,
1050,MSU Line E6012-1050,2,1059,2667,78.6,12.75,W,3,15,298,2459,W,W,A,,,30,102,0,0,0,,,
MSU68,MI14W0014,2,1060,3007,76.3,12.78,W,3,16,303,NA,W,,,,,29,117,2,2,0,,,
405,NY07014-405,2,1061,2691,81,13.2,W,3,17,338,2331,W,BR,N,,95,31,112,1,0,0,,,
1309,NY10127-10-87-1309,2,1062,2763,79.1,13.67,W,3,18,343,2367,W,W,N,,,1,102,1,1,0,,,
MSU3,MSU Line F1026R,2,1063,2901,79.2,13.32,R,3,19,378,2362,R,W,N,,,29,107,1,1,0,,,
MSU70,MI14W0022,2,1064,2384,73.4,12.85,W,3,20,383,NA,W,,,,,30,112,2,0,2,,,
OH35,OH12-297-15,2,1065,2090,77.7,12.9,R,3,21,418,2149,R,W,N,10% BR,,29,122,1,2,0,,,
1351,NY11018-02-12-1351,2,1066,2166,77.7,13.35,R,3,22,423,156,R,,,,,29,117,2,0,7,,,
1266,NY10086-6-27-1266,2,1067,2729,78.5,13.08,W,4,22,424,2304,W,BR/W,N,,,31,117,0,5,0,,,
OH23,OH12-242-4,2,1068,2850,79.1,12.96,R,4,21,417,2069,R,W,N,,,28,117,0,1,0,,,
35_check,Caledonia,2,1069,3124,77.8,13.52,W,4,20,384,checkPlots2015,W,W_BR/W,N,,,31,107,1,5,0,,,
1245,NY04006-1245,2,1070,2642,78.5,13.16,R,4,19,377,2067,R,W,N,,,31,107,1,2,0,,,
MSU28,MI14R0079,2,1071,2597,78.6,13.17,R,4,18,344,2354,R,W,A,,,30,102,2,0,0,,,
MSU16,MSU Line F2018,2,1072,2527,78.4,13.06,W,4,17,337,2059,W,W,N,,,28,107,2,1,0,,,
MSU4,MSU Line F1029,2,1073,3394,78.4,13.35,W,4,16,304,2255,W,W,N,,,28,112,2,0,0,,,
1368,NY11025-07-01-1368,2,1074,2865,79.5,13.16,W,4,15,297,177,W,,,,,28,102,0,1,0,,,
1329,NY11019-1-87-1329,2,1075,2940,80.9,13.53,R,4,14,264,129,R,,,,,29,97,1,0,0,,,
OH7,OH12-118-61,2,1076,2646,83.5,13.11,R,4,13,257,2232,R,W,N,,,27,102,0,0,0,,,
264_check,Medina,2,1077,2748,79.3,12.89,W,4,12,224,checkPlots2015,W,W,N,,,30,112,0,3,0,,,
OH14,OH12-91-67,2,1078,3035,78.6,13.25,R,4,11,217,2076,R,W,N,,,29,107,1,0,0,,,
1360,NY11019-11-01-1360,2,1079,2982,77.7,13.49,R,4,10,184,167,R,,,,,29,107,2,2,0,,,
716_check,NY01016-AN-716,2,1080,2764,79.8,13.04,W,4,9,177,checkPlots2015,W,W,A,,,29,117,2,0,0,,,
1191,NY01026-1191,2,1081,3099,80.6,13.18,R,4,8,144,2386,R,BR,N,,,31,107,0,0,0,,,
MSU7,MSU Line F1051,2,1082,3192,79,13.56,W,4,7,137,2404,W,W,N,,,30,117,2,0,0,,,
1278,NY10102-1-19-1278,2,1083,2770,79.5,13.17,W,4,6,104,2418,W,W,N,,,31,107,1,2,0,,,
1280,NY10102-1-26-1280,2,1084,2881,79.2,13.41,50W,4,5,97,2346,S,W,N,,,31,107,0,1,0,,,
1328,NY11019-1-67-1328,2,1085,2692,79.5,13.22,R,4,4,64,128,R,,,,,31,112,1,0,0,,,
1167,NY99045-1167,2,1086,2972,80.4,13.41,W,4,3,57,2405,W,BR,N,,,28,122,0,2,0,,,
OH73,OH13-157-65,2,1087,3502,80.9,13.55,R,4,2,24,2474,R,W,N,,,30,112,0,0,0,,,
807,NY02008-807,2,1088,3102,79,13.69,W,4,1,17,2041,W,W,N,,,2,107,1,2,0,,,
1359,NY11019-09-23-1359,3,1089,3079,80.4,13.71,R,5,1,16,166,R,,,,,28,117,2,0,0,,,
1323,NY11016-10-48-1323,3,1090,3135,77.8,13.2,R,5,2,25,118,R,,,,,1,112,0,0,0,,,
1247,NY03060-1247,3,1091,2813,81,13.16,W,5,3,56,2359,W,W/BR,N,B/G,,31,112,2,0,0,,,
1059,X08-39D,3,1092,2898,81.1,13.42,R,5,4,65,2321,R,W,N,,,29,107,1,0,0,,,
841,NY05158-841,3,1093,2503,82,12.98,W,5,5,96,2475,W,BR,N,,,29,97,0,5,0,,,
602_check,OH02-12686,3,1094,2968,80.3,13.59,R,5,6,105,checkPlots2015,R,W,N,,,31,107,0,0,0,,,
MSU2,MSU Line F1014,3,1095,2974,79.4,12.95,W,5,7,136,2409,W,W,N,,,31,102,1,6,0,,,
477,Otsego,3,1096,2712,79.1,13.17,R,5,8,145,2288,R,W,N,,,29,112,1,5,0,,,
OH29,OH12-284-53,3,1097,2223,79.8,13.02,R,5,9,176,2196,R,W,A/N,10% N,,25,112,0,1,0,,,
OH27,OH12-281-62,3,1098,2401,79.8,12.86,R,5,10,185,2343,R,W,N,,,27,107,0,0,0,,,
1097,NY09067-2-69-1097,3,1099,2504,80,12.9,R,5,11,216,2340,R,W,N,,,31,107,1,0,0,,,
35_check,Caledonia,3,1100,3028,79.1,13.27,W,5,12,225,checkPlots2015,W,W_BR/W,N,,,31,107,1,2,0,,,
439,KY97C-0508-01-01A-1,3,1101,2887,80,13.12,R,5,13,256,2061,R,W,A,,,28,112,0,0,0,,,
