Source,Entry,PLOT,KC,PlotYield,TW,Moisture,YldCorKgH,Lodging,Ht,HD,WH,Bird
578,NY99069-328,2083,,1563,74.3,11.6,4152,0,85,1-Jun,,
510,NY03093&94-150,2084,,1339,72.6,11.4,3564,0,92,2-Jun,,
679,Whatford/7388 - 165,2085,,1497,78.6,11.9,3965,0,97,30-May,,
619,Taboo exp.,2086,R,1582,75.3,11.5,4207,0,91,31-May,,
405,NY07014-141,2087,,1580,73.8,11.4,4206,0,102,1-Jun,,
Cal,Caledonia,2088,,1503,70.6,11.6,3993,0,82,1-Jun,,
507,NY01009-143,2089,,1531,72,11.8,4059,0,79,1-Jun,,
150,94046,2090,,1348,72,12,3567,0,91,1-Jun,,
535,NY01008-218,2091,,1748,74.4,11.4,4653,1,91,2-Jun,,
735,NY07106-134,2092,M,1377,75.6,12.1,3640,1,99,3-Jun,,
266,PioneerVar25W41,2093,,1403,74.2,11.2,3742,0,80,31-May,,
540,NY00012-226,2094,,1331,72.9,11.8,3529,0,97,4-Jun,,
246,99038,2095,,1593,70.7,11.4,4240,0,93,3-Jun,,
487,FS_652,2096,R,1390,73.7,11.5,3696,0,77,1-Jun,,
592,NY01003-371,2097,,1232,71.3,11.4,3279,0,75,31-May,,
503,NY99055-135,2098,,1509,71.7,11.4,4017,0,92,3-Jun,,
Cal,Caledonia,2099,,1631,71.4,11.4,4342,0,85,1-Jun,,
584,NY99069-352,2100,,1462,71.5,11.6,3884,0,80,1-Jun,,
82,94052,2101,,1376,72.6,11.8,3648,0,86,4-Jun,,
250,99038,2102,,1839,73.4,11.6,4885,0,92,4-Jun,,
511,NY03082-156,2103,,1849,72.5,11.7,4907,0,90,1-Jun,,
289,W1062,2104,,1732,72.5,12,4583,0,86,1-Jun,,
751,NY07104-87,2105,,1603,72.2,11.6,4259,1,100,2-Jun,,
252,97083,2106,,1452,72.1,11.3,3869,0,101,7-Jun,,
566,NY01018-303,2107,,1563,74.1,12,4136,0,87,31-May,,
32,Purcell,2108,,1218,70.9,11.5,3239,1,101,4-Jun,,
596,8080x7388-76-417,2109,,1322,76.2,11.8,3505,0,87,3-Jun,,
678,8080xCal - 56,2110,,1311,71.9,10.7,3514,0,97,2-Jun,,
506,NY03110-1-2-5-6-142,2111,,1386,74.3,11.4,3689,0,90,30-May,,
176,94046,2112,,1355,71,11.1,3618,0,96,4-Jun,,3
201,94052,2113,,1133,72.4,11.5,3013,0,86,4-Jun,,5
112,94061,2114,,1520,71.4,11.4,4046,0,87,1-Jun,,3
7088,NY7088,2115,,1561,71.6,10.5,4192,0,100,3-Jun,,
553,NY03010-252,2116,,1574,66.8,10.8,4215,0,86,1-Jun,,3
744,NY07103-96,2117,,1382,71.9,11.6,3671,0,83,1-Jun,,
463,Blazer_exp.,2118,R,1518,73.8,11.8,4025,3,87,31-May,,
629,ML06-2097,2119,R,1610,74.9,11.9,4264,0,87,31-May,,
639,NC05-19896,2120,R,1540,74.4,11.7,4087,0,80,31-May,,3
Cal,Caledonia,2121,,1634,71.4,11.7,4337,0,86,2-Jun,,
444,OH05-248-38,2122,R,1908,69.8,11.5,5074,0,81,31-May,,
590,NY99049-364,2123,,1427,74.8,11.7,3787,0,81,1-Jun,,
580,NY03082-336,2124,,1577,73.3,11.6,4189,0,86,5-Jun,,
418,MSU_Line_E5011A,2125,,1377,68.8,11.7,3654,0,80,1-Jun,,
429,TWF507-001,2126,,1447,67.7,11.8,3836,0,87,4-Jun,,3
Rich,Richland,2127,,1425,72.6,11.6,3786,0,91,1-Jun,,
576,NY99034-324,2128,,1169,73.3,11,3124,0,77,6-Jun,,4
577,NY99069-326,2129,,1413,72.6,11.7,3750,0,82,1-Jun,,
516,NY03015-165,2130,,1597,72.4,11.8,4234,0,90,3-Jun,,
57,SUPERIOR,2131,,1388,72.2,12,3673,0,96,4-Jun,,
392,NY03086,2132,,1256,72,11.9,3327,0,87,4-Jun,,
Rich,Richland,2133,,1420,72.2,11.7,3769,0,96,2-Jun,,
563,NY01066-286,2134,,1446,72.8,11.8,3834,0,90,1-Jun,,
739,NY07106-135,2135,,1401,74.5,12,3707,0,92,2-Jun,,
515,NY99056-161,2136,,1538,73,11.9,4074,0,87,1-Jun,,
531,NY99048-205,2137,,1287,70,11.8,3412,0,92,1-Jun,,
759,NY07105-17,2138,,1470,74.5,11.8,3897,0,96,1-Jun,,
524,NY03102-3-4-192,2139,,1096,68.1,11.3,2920,0,82,4-Jun,,
OH751,OH751,2140,R,1698,73.9,12,4493,0,94,30-May,,
593,NY05143-2-397,2141,,1292,70.8,11.6,3432,0,95,30-May,,
485,FS_300,2142,R,1380,76.9,11.9,3655,0,86,29-May,,
466,VA05W-151,2143,R,1445,77.1,12.1,3820,0,80,29-May,,
677,8080xCal - 49,2144,,1318,73.8,11.7,3498,0,87,4-Jun,,
33,Geneva,2145,,1384,73.2,11.8,3669,1,96,31-May,,
496,NY01066-118,2146,,1406,72.4,11.8,3728,0,87,4-Jun,,
159,96047,2147,,1427,71.4,11.2,3806,0,88,3-Jun,,
556,NY01003-268,2148,,1222,72.7,12,3233,0,87,1-Jun,,
654,NY03087&88,2149,,1223,70.2,11.9,3239,0,76,1-Jun,,
169,96030,2150,,1175,72.6,12.1,3106,0,82,1-Jun,,
555,NY03100-266,2151,,1407,71.3,12,3723,0,94,4-Jun,,
767,NY07106-161,2152,,1300,75.3,12.2,3433,1,93,1-Jun,,
635,G89263,2153,R,1324,76.1,12,3503,1,83,31-May,,
31,Houser,2154,,1322,71.6,11.5,3516,0,98,1-Jun,,
469,AR98022-19-3,2155,R,1351,75,12.1,3571,0,91,31-May,,
500,NY99049-128,2156,,1054,72.1,11.6,2800,0,88,3-Jun,,
281,NYW103.226.9195,2157,,1394,76,12.1,3685,0,105,4-Jun,,
174,94046,2158,,1491,72.2,11.4,3969,0,95,31-May,,
220,99043,2159,,1430,72,11.3,3810,0,93,4-Jun,,
464,Probe_exp.,2160,R,1625,75.5,12.2,4291,0,90,31-May,,
187,96153,2161,,1583,70.9,11.4,4214,0,77,1-Jun,,
403,NY07012-139,2162,,1405,70.8,11.6,3733,0,80,1-Jun,,
Jen,Jensen,2163,,1383,71.8,11.9,3663,0,92,3-Jun,,2
454,M05-1531,2164,R,1623,75.5,11.5,4316,0,90,29-May,,
