Source,Entry,CC,AN,PLOT,PlotYield,Moisture,TW,Lodging,HD,Ht,WH,SproutMn,Pedigree,Rogueing
9321,W105-63,W,N,6068,2036,16.3,76.1,,,103,95,3.4,Superior x Cayuga DH Population,11
9399,94025,W,N,6069,2439,17,75.8,,,96,100,3.4,Pio2737w/cayuga(22),0
9304,W105-129,W,N,6070,1883,16.4,75.2,,,102,90,4,Superior x Cayuga DH Population,23
9340,94052,W,N,6071,2280,16.9,73,,,92,100,2.4,Pio2737w/Harus(18),12
9311,94025,W,N,6072,2225,16.4,74.3,,,108,100,3.8,Pio2737w/cayuga(22),1
9278,W105-137,W,N,6073,2197,17.1,75.8,,,100,100,4.2,Superior x Cayuga DH Population,10
9364,RICHLAND,B,N,6074,1938,15.7,73,,,87,95,6.6,check,10
9309,94032,W,N,6075,2102,16.8,75.3,,,87,100,4.6,Pio2737w/Geneva(19),15
9345,W105-30,W,N,6076,2438,16.7,74.7,,,100,100,1.6,Superior x Cayuga DH Population,10
9256,94025,W,N,6077,2243,17.1,74,,,85,100,3,Pio2737w/cayuga(22),2
9401,W105-57,W,N,6078,2113,16.9,76.3,,,93,100,0.6,Superior x Cayuga DH Population,3
9287,SUPERIOR,W,N,6079,2070,16.5,73.1,,,90,90,5.6,check,38
9263,93301,B,N,6080,2523,16.6,72.2,,,83,100,4,18cc-40/NY80095-6,19
9415,W105-159,W,N,6081,2029,16.8,74.6,,,87,100,2.4,Superior x Cayuga DH Population,26
9338,W105-79,W,N,6082,2284,17.5,75.8,,,102,100,1.2,Superior x Cayuga DH Population,1
9381,94025,W,N,6083,2353,16.2,74.9,,,93,100,2.2,Pio2737w/cayuga(22),7
9390,W105-116,W,N,6084,2331,16.8,74.7,,,92,100,2.8,Superior x Cayuga DH Population,24
9292,94052,B,N,6085,2176,16.5,72.9,,,87,100,4,Pio2737w/Harus(18),26
9294,94025,W,N,6086,2337,16.6,74.4,,,90,95,1.2,Pio2737w/cayuga(22),1
9397,94052,B,N,6087,2657,15.9,73.4,,,82,100,2.4,Pio2737w/Harus(18),37
9403,94032,W,N,6088,2052,16.1,75.7,,,82,100,3.2,Pio2737w/Geneva(19),12
9372,93308,B,N,6089,2139,15.8,74,,,90,100,4.8,18cc-59/Pio2737w,2
9314,94052,B,N,6090,2603,14.7,75,,,80,100,2,Pio2737w/Harus(18),12
9371,93306,W,N,6091,2325,14.9,74.5,,,90,100,2.6,18cc-59/Pio2548,6
9416,94052,B,N,6092,1985,14.5,75.3,,,75,100,2.6,Pio2737w/Harus(18),21
9273,93246SP,W,N,6093,2455,14.9,73.8,,,87,100,4.8,Harus/3/92145:91009(Geneva/U1273-5-18-8)/NY73116-4W(4),12
9375,W105-97,W,N,6094,1950,14.5,75,,,107,95,1.8,Superior x Cayuga DH Population,0
9298,W105-40,W,N,6095,2231,15.7,77,,,110,100,3.2,Superior x Cayuga DH Population,0
9359,W105-136,W,N,6096,1776,14.9,76.2,,,105,93,2.4,Superior x Cayuga DH Population,1
9410,94025,W,N,6097,2242,15,75.8,,,92,100,4,Pio2737w/cayuga(22),22
9308,94025,W,N,6098,2118,14.6,76.2,,,102,100,1.6,Pio2737w/cayuga(22),0
9400,94025,W,N,6099,2197,14.9,76.6,,,100,100,1.6,Pio2737w/cayuga(22),2
9307,W105-108,W,N,6100,1884,14.4,75.7,,,92,93,3.4,Superior x Cayuga DH Population,11
9392,94042,B,N,6101,2448,14.5,76.2,,,90,100,4,Diana/Geneva(21),10
9387,W105-146,W,N,6102,2504,15,76.7,,,90,100,3.8,Superior x Cayuga DH Population,7
9411,94052,B,N,6103,2182,14.5,74.2,,,90,100,4.2,Pio2737w/Harus(18),34
9337,W105-54,W,N,6104,2195,14.3,76.2,,,90,100,3.2,Superior x Cayuga DH Population,59
9394,94025,W,N,6105,2302,14.8,76.8,,,100,100,1.2,Pio2737w/cayuga(22),0
9369,94052,B,N,6106,2078,14.8,75,,,90,100,2.6,Pio2737w/Harus(18),5
9305,W105-32,W,N,6107,2152,15.3,75.7,,,100,100,3.6,Superior x Cayuga DH Population,4
9312,93237SP,B,N,6108,1991,13.7,75.1,,,95,100,0.8,92145:91009(Geneva/U1273-5-18-8)/NY73116-4W/3/Harus(20),72
9291,94025,W,N,6109,2232,14.8,75.1,,,108,100,3,Pio2737w/cayuga(22),2
,2006 Group,,,,,,,,,,,,,
9683,96049,,,6110,1962,14.6,73.6,,,95,100,,Harus / Karena (16),4
9714,96009,,,6111,2260,14.1,72.4,,,90,100,,Batavia / Geneva Resel (23),7
9602,94046,,,6112,2246,14.1,74.5,,,90,100,,Diana/Harus(25),7
9448,94025,,,6113,2307,15,75.8,,,80,100,,Pio2737w/cayuga(22),4
9578,94052,,,6114,2157,14.4,73.7,,,85,100,,Pio2737w/Harus(18),0
9436,96067,,,6115,2399,14.5,73.5,,,77,100,,Pio 2545 / Geneva Resel (18),2
9622,94035,,,6116,2313,14.5,74.2,,,80,100,,Pio2737w/Geneva(9),0
9626,96002,,,6117,2110,14.6,74.3,,,90,100,,AC Ron / Cayuga (35),0
9572,94046,,,6118,2054,13.8,74,,,97,100,,Diana/Harus(25),5
9691,SUPERIOR,,,6119,1911,13.7,74,,,95,100,,check,11
9695,94052,,,6120,1944,13.6,75.6,,,85,100,,Pio2737w/Harus(18),8
