GID,Entry,Block,PLOT,Yield,Test WT,Moisture,KC 2016,SECTION,ROW,Planting.Order,Source,KC.2015,CC.2015,Awn.2015,Seg,wh,HD,Ht,leaf angle,Mildew,Lodging,Comments,percent awned,percent bronze chaff
1191,NY01026-1191,2,2053,2849,81.6,12.83,R,3,9,178,2386,R,BR,N,,,1,99,0,,,,,100
35_check,Caledonia,2,2054,2763,80.3,12.77,W,3,10,183,checkPlots2015,W,W_BR/W,N,,,31,88,1,,,,,5
OH2,OH12-104-72,2,2055,2909,82.2,13.07,R,3,11,218,2398,R,W,N,,,28,100,0,,,,,
627,XY04-37,2,2056,2593,81,12.46,R,3,12,223,2280,R,W,N,,,27,88,0,,,,,
MSU86,MI14R0176,2,2057,2950,81.3,12.61,R,3,13,258,NA,R,,,,,28,95,1,,,Small awn,100,
OH64,OH13-118-29,2,2058,2971,81.1,12.59,R,3,14,263,2341,R,W,N,,,29,92,2,,,Small awn,100,
OH21,OH12-236-26,2,2059,2733,81.3,12.76,R,3,15,298,2278,R,W,N,B/G,,28,110,1,,,,20,
1327,NY11019-1-43-1327,2,2060,2586,80,13.08,R,3,16,303,126,R,,,,,29,94,1,,,,,
MSU27,MSU Line F2041,2,2061,2588,76.6,12.09,W,3,17,338,2368,W,W,N,Ht,,31,110,2,,,,,
OH30,OH12-293-29,2,2062,2540,82.3,12.98,R,3,18,343,2388,R,W,A,,,28,94,0,,,,100,
473,7730R,2,2063,2481,81.8,12.84,R,3,19,378,2185,R,W,N,,,27,92,1,,,Small awn,100,
1358,NY11019-09-17-1358,2,2064,2480,80.7,13.28,R,3,20,383,165,R,,,,,27,98,2,,,,,
1290,NY10108-2-16-1290,2,2065,1931,80.5,13.58,W,3,21,418,2191,W,W,N,,,30,90,1,,,,,
1104,NY09072-4-81-1104,2,2066,2503,80.2,13.24,W,3,22,423,2079,W,W,N,,,30,92,2,,,,,
807,NY02008-807,2,2067,2563,80,13.95,W,4,22,424,2041,W,W,N,,,2,102,1,,,,,
1197,NY02003-1197,2,2068,2330,81.3,13.29,W,4,21,417,2153,W,W,N,,,30,82,1,,,,,
MSU91,MI14W0230,2,2069,2032,82.7,13.26,R,4,20,384,NA,W,,,,,30,78,1,,,,,
844,NY05158-844,2,2070,2585,82,12.98,R,4,19,377,2463,R,W,N,10% G 10% BR,,30,102,2,,,,,
1294,NY10108-2-47-1294,2,2071,2395,80.7,12.56,50W,4,18,344,2269,S,W,N,,,1,86,0,,,,,
602_check,OH02-12686,2,2072,2681,80.7,12.92,R,4,17,337,checkPlots2015,R,W,N,,,31,94,0,,,,,
264_check,Medina,2,2073,2479,79.9,12.86,W,4,16,304,checkPlots2015,W,W,N,,,30,102,0,,,,,
839,NY05158-839,2,2074,2637,83,12.72,W,4,15,297,2384,W,BR,N,,,29,85,1,,,,,100
OH4,OH12-127-46,2,2075,2294,79.9,12.36,R,4,14,264,2379,R,W,N,10% A,,27,115,1,,,,10,
477,Otsego,2,2076,2652,80.4,12.7,R,4,13,257,2288,R,W,N,,,29,105,2,,,,,
716_check,NY01016-AN-716,2,2077,2746,79.8,13.25,W,4,12,224,checkPlots2015,W,W,A,,,30,104,2,,,,100,
MSU70,MI14W0022,2,2078,2785,78,12.51,W,4,11,217,NA,W,,,,,29,100,2,,,,100,
405,NY07014-405,2,2079,2782,81.3,12.88,W,4,10,184,2331,W,BR,N,,,31,112,1,,,,,100
1346,NY11017-07-05-1346,2,2080,2742,79.6,12.84,R,4,9,177,151,R,,,,,30,92,2,,,Small awn,90,
1220,NY04098-1220,2,2081,2529,79.1,12.66,W,4,8,144,2130,W,W,N,,,1,105,2,,,,,
MSU19,MSU Line F2024R,2,2082,2760,81.9,13.48,R,4,7,137,2324,R,W,N,B/G,,30,100,1,,,,5,
1355,NY11018-08-12-1355,2,2083,2733,79.8,13.2,R,4,6,104,161,R,,,,,29,92,2,,,,,
1368,NY11025-07-01-1368,2,2084,2658,81.3,12.91,W,4,5,97,177,W,,,,,30,96,1,,,,,
MSU75,MI14W0061,2,2085,2823,77,12.23,W,4,4,64,NA,W,,,,,30,92,1,,,,,
OH28,OH12-282-67,2,2086,2472,82.2,13.59,R,4,3,57,2323,R,W,N,,,28,95,0,,,,,
1168,NY99045-1168,2,2087,2364,78.4,13.2,W,4,2,24,2274,W,W,A,10% N,,29,90,1,,,,95,
MSU26,MSU Line F2039,2,2088,2803,77.2,13.2,W,4,1,17,2437,W,W,N,10% B,,31,92,2,,,,,
MSU105,MI14W0007,3,2089,2828,81.4,14.11,W,5,1,16,NA,W,,,,,30,95,0,,,,,
1072,Caledonia Reselect-L-W,3,2090,2428,79,14.78,W,5,2,25,2431,W,W,N,,,30,100,1,,,,,
1179,NY00020-1179,3,2091,2625,80,13.32,R,5,3,56,2301,R,W,N,,,31,95,1,,,,,
1086,09058-1-23-1086,3,2092,2692,79.3,12.77,W,5,4,65,2105,W,W,N,,,30,100,0,,,,,
OH75,OH13-168-18,3,2093,2943,82.2,13.05,R,5,5,96,2281,R,W,N,,,29,102,2,,,,,
OH55,OH13-83-12,3,2094,2823,79.4,12.53,R,5,6,105,2344,R,W,N,,,27,100,0,,,Small awn,50,
1367,NY11025-02-23-1367,3,2095,2794,81.6,12.89,W,5,7,136,176,W,,,,,29,95,0,,,,,
OH37,OH12-298-1,3,2096,2296,81.1,12.58,R,5,8,145,2329,R,W,A,,,29,115,1,,,Early lodging,100,
602_check,OH02-12686,3,2097,2833,81.1,13.01,R,5,9,176,checkPlots2015,R,W,N,,,31,96,0,,,,,
1371,NY11025-07-17-1371,3,2098,2868,80.2,12.71,W,5,10,185,181,W,,,,,27,94,1,,,,,
MSU87,MI14W0200,3,2099,2879,80.2,13.1,W,5,11,216,NA,W,,,,,30,116,1,,,,,
57,Superior,3,2100,2537,79.5,13.01,W,5,12,225,2260,W,W,N,Ht,,2,108,1,,,,,
264_check,Medina,3,2101,2728,80.6,13.18,W,5,13,256,checkPlots2015,W,W,N,,,31,106,0,,,,,
1295,NY10108-2-50-1295,3,2102,2422,80,12.79,50W,5,14,265,2434,S,W,N,,,2,94,0,,,,,
MSU96,MI14W0255,3,2103,2576,79.9,12.78,W,5,15,296,NA,W,,,,,30,104,2,,,,,
MSU61,MI14R0717,3,2104,2416,81.4,12.71,R,5,16,305,2390,R,W,A,10% G,,28,92,0,,,,100,
MSU51,MI14R0686,3,2105,2453,80.6,12.53,R,5,17,336,2350,R,W,A,,,30,90,1,,,,100,5
866,NY05158-866,3,2106,2198,82.7,12.69,W,5,18,345,2395,W,BR/W,A/N,"10% T, 10%A",,29,83,0,,,Bronze is small awn,100,95
MSU93,MI14R0249,3,2107,2420,81,13.03,R,5,19,376,NA,R,,,,,28,120,0,,,,,
1050,MSU Line E6012-1050,3,2108,2490,80.4,12.75,W,5,20,385,2459,W,W,A,,,29,88,1,,,,100,
MSU69,MI14W0018,3,2109,1926,81.3,13.22,W,5,21,416,NA,W,,,,,30,110,2,,,,,
MSU62,MI14W0720,3,2110,2538,76.3,12.91,W,5,22,425,2124,W,W,N,,,2,92,1,,,,,
OH62,OH13-179-36,3,2111,2459,82.7,13.52,R,6,22,426,2259,R,W,A,,,29,90,0,,,,100,
716_check,NY01016-AN-716,3,2112,2375,80.4,13.68,W,6,21,415,checkPlots2015,W,W,A,,,30,90,2,,,,100,
35_check,Caledonia,3,2113,2564,80.5,13.25,W,6,20,386,checkPlots2015,W,W_BR/W,N,,,31,86,2,,,,,
1314,NY11013-10-72-1314,3,2114,2871,79.6,13.53,R,6,19,375,108,R,,,,,1,104,0,,,,,
1340,NY11029-10-24-1340,3,2115,2484,79.8,13.09,R,6,18,346,145,R,,,,,31,96,2,,,,,
OH24,OH12-299-41,3,2116,2076,83.5,12.67,R,6,17,335,2216,R,W,A,,,27,90,0,,,,100,
1330,NY11019-2-25-1330,3,2117,2382,80.4,12.99,R,6,16,306,130,R,,,,,30,105,2,,,,,
880,NY07088-880,3,2118,2524,81.2,12.71,50W,6,15,295,2086,S,W,N,"B/G, N/A, ht",,29,102,1,,,,20,
1069,09068-5-19-1069,3,2119,2387,82.1,13.4,R,6,14,266,2374,R,W,N,,,31,118,1,,,,,
628,OH05-200-74,3,2120,2861,79.5,13.3,R,6,13,255,2009,R,BR,N,,,30,102,0,,,,,100
MSU17,MSU Line F2020,3,2121,2614,80.7,12.63,W,6,12,226,2267,W,W,N,,,30,96,2,,,Small awn,100,
1054,VA09W-192WS,3,2122,3038,81.8,12.71,W,6,11,215,2458,W,W,N,10% BR,,30,90,1,,,,100,5
864,NY05158-864,3,2123,2695,82.5,12.73,W,6,10,186,2206,W,BR,N,,,29,90,0,,,,,100
1059,X08-39D,3,2124,2987,81.7,13.31,R,6,9,175,2321,R,W,N,,,30,100,2,,,,,
