GID,Entry,Block,PLOT,Yield,Test WT,Moisture,KC 2016,SECTION,ROW,Planting.Order,Source,KC.2015,CC.2015,Awn.2015,Seg,wh,HD,Ht,leaf angle,Mildew,Lodging,Comments,percent awned,percent bronze chaff
MSU39,MI14R0364,2,3052,1975,79.9,14.08,R,3,8,143,2371,R,W,N,,95,29,80,0,0,0,,,
MSU69,MI14W0018,2,3053,1503,79.3,13.73,W,3,9,178,NA,W,,,,,30,84,1,0,1,,,
1360,NY11019-11-01-1360,2,3054,1973,78,14.4,R,3,10,183,167,R,,,,95,29,78,2,0,1,,,
1086,09058-1-23-1086,2,3055,2145,76.8,14.89,W,3,11,218,2105,W,W,N,,95,31,82,1,2,1,,,
1202,NY02003-1202,2,3056,2189,78.3,14.86,W,3,12,223,2421,W,W,A,10% N,90,30,82,2,0,0,,,
35_check,Caledonia,2,3057,2228,77,15.45,W,3,13,258,checkPlots2015,W,W_BR/W,N,,,31,76,2,1,0,,,
1311,NY11013-10-6-1311,2,3058,2286,76.3,15.56,R,3,14,263,104,R,,,,,1,90,0,0,3,,,
MSU16,MSU Line F2018,2,3059,2447,78.2,15.13,W,3,15,298,2059,W,W,N,,,29,86,2,1,0,,,
1299,NY10108-2-85-1299,2,3060,2145,78.1,14.95,W,3,16,303,2219,W,W,N,,,31,84,1,2,0,,,
879,NY07085-879,2,3061,2433,78.1,14.79,60W,3,17,338,2440,S,W,A/N,"B/G, N/A, ht",,30,98,2,2,1,,,
OH53,OH13-79-31,2,3062,2462,76.5,15.3,R,3,18,343,2014,R,W,N,10% Br,,26,92,0,0,1,,,
1315,NY11014-10-41-1315,2,3063,2544,76.7,14.33,W,3,19,378,110,W,,,,,31,100,1,1,0,,,
MSU101,MI14W0286,2,3064,2019,79,15.14,W,3,20,383,NA,W,,,,,1,98,2,0,0,,,
613,X00*1648-613,2,3065,2378,78.8,15.29,W,3,21,418,3145,W,W,a,,,29,88,2,0,0,,,
264_check,Medina,2,3066,2587,78.3,14.99,W,3,22,423,checkPlots2015,W,W,N,,,30,102,0,4,0,,,
1191,NY01026-1191,2,3067,2701,79.7,14.86,R,4,22,424,2386,R,BR,N,,,1,92,0,0,0,,,
1090,09063-11-64-1090,2,3068,2137,78,15.08,R,4,21,417,2273,R,W,N,,95,1,92,2,0,0,,,
1246,NY03060-1246,2,3069,2371,79.9,14.19,W,4,20,384,2066,W,BR,N,,,31,100,2,1,0,,,
1190,NY01023-1190,2,3070,2419,78.3,14.36,R,4,19,377,2289,R,W/BR,N,"B/G, 10% T",,29,80,1,0,0,,,
OH15,OH12-194-53,2,3071,2386,79.2,14.04,R,4,18,344,2217,R,W,N,,,29,84,0,0,0,,,
57,Superior,2,3072,2103,77.4,15.11,W,4,17,337,2260,W,W,N,Ht,95,1,94,2,0,1,,,
OH19,OH12-228-42,2,3073,2192,72.4,14.77,R,4,16,304,2008,R,W,N,,,29,88,1,0,0,,,
1276,NY10102-1-14-1276,2,3074,2278,77.6,15.08,M,4,15,297,2337,S,W,N,,,30,82,1,0,0,,,
OH6,OH12-133-62,2,3075,1922,72.4,14.34,R,4,14,264,2055,R,W,N,,90,30,74,2,0,1,,,
1365,NY11025-02-04-1365,2,3076,2208,78.3,15.03,W,4,13,257,173,W,,,,,30,76,1,0,1,,,
1286,NY10102-1-71-1286,2,3077,2123,77.2,14.69,W,4,12,224,2209,W,W,N,,90,31,84,1,0,0,,,
1171,NY99048-1171,2,3078,2008,79.1,14.75,W,4,11,217,2092,W,W,N,,95,30,86,2,2,0,,,
MSU72,MI14W0052,2,3079,1701,79.9,13.71,40W,4,10,184,NA,W,,,,90,26,90,2,0,0,,,
1341,NY11030-5-12-1341,2,3080,1726,78.9,14.36,R,4,9,177,146,R,,,,,31,80,1,0,0,,,
602_check,OH02-12686,2,3081,2336,80,14.57,R,4,8,144,checkPlots2015,R,W,N,,,31,82,0,0,0,,,
1250,NY04044-1250,2,3082,1953,78.4,13.86,W,4,7,137,2265,W,W,N,,85,1,82,2,0,0,,,
488,FS 801,2,3083,2397,79,14.03,R,4,6,104,2477,R,W,A,,,27,80,2,0,0,,,
MSU79,MI14W0085,2,3084,1545,77.7,13.26,W,4,5,97,NA,W,,,,,30,78,1,0,0,,,
34,Richland,2,3085,2005,80.5,13.82,W,4,4,64,2283,W,BR,N,,90,31,86,0,0,0,,,
MSU66,MI14W0734,2,3086,2074,79.5,14.56,W,4,3,57,2137,W,W,A,,,30,80,2,0,0,,,
OH9,OH12-139-49,2,3087,1951,80,14.2,R,4,2,24,2328,R,W,N,,95,28,76,1,0,0,,,
MSU74,MI14W0059,2,3088,2100,77.1,14.68,W,4,1,17,NA,W,,,,,29,84,2,1,0,,,
268,E0028,3,3089,1995,76.8,14.71,W,5,1,16,2416,W,W,N,,,29,76,1,0,0,,,
1274,NY10102-1-08-1274,3,3090,2092,76.6,15.4,M,5,2,25,2235,S,W,N,,,31,88,0,0,0,,,
855,NY05158-855,3,3091,1984,79.7,14.6,W,5,3,56,2112,W,BR,N,,,29,74,1,0,0,,,
1305,NY10127-10-04-1305,3,3092,2052,78.6,13.73,W,5,4,65,2022,W,W,N,,,30,76,1,0,0,,,
OH27,OH12-281-62,3,3093,1692,79.5,13.14,R,5,5,96,2343,R,W,N,,,27,78,0,0,0,,,
MSU80,MI14R0113,3,3094,2238,78.6,13.79,R,5,6,105,NA,R,,,,,27,90,1,0,0,,,
1367,NY11025-02-23-1367,3,3095,1976,79.3,13.8,W,5,7,136,176,W,,,,,29,82,1,0,0,,,
1351,NY11018-02-12-1351,3,3096,2047,78.8,14.08,R,5,8,145,156,R,,,,,28,82,2,0,1,,,
1356,NY11018-08-13-1356,3,3097,2051,78.1,14.22,R,5,9,176,162,R,,,,,29,84,2,0,0,,,
MSU90,MI14R0225,3,3098,1768,78.3,13.19,R,5,10,185,NA,R,,,,90,30,90,2,3,0,,,
35_check,Caledonia,3,3099,2074,77.3,15.16,W,5,11,216,checkPlots2015,W,W_BR/W,N,,,31,80,1,0,0,,,
1344,NY11017-03-03-1344,3,3100,2220,77.2,15.26,R,5,12,225,149,R,,,,95,29,76,2,0,0,,,
1052,MSU Line E8052,3,3101,2315,78.8,14.41,W,5,13,256,2257,W,W,A,,,29,76,1,0,0,,,
MSU63,MI14W0723,3,3102,1882,78.2,14.87,W,5,14,265,2436,W,BR,N,,90,29,84,2,0,2,,,
264_check,Medina,3,3103,2009,77.9,15.11,W,5,15,296,checkPlots2015,W,W,N,,,30,92,0,0,0,,,
MSU82,MI14W0118,3,3104,2161,78.4,15.23,W,5,16,305,NA,W,,,,,28,90,1,0,0,,,
1331,NY11020-1-35-1331,3,3105,2046,76.4,15.5,R,5,17,336,131,R,,,,,29,84,2,0,1,,,
MSU37,MI14R0342,3,3106,1731,78.2,14.61,80W,5,18,345,2361,S,W,N,,,29,92,1,0,1,Diseased,,
MSU95,MI14W0253,3,3107,2650,78,14.19,W,5,19,376,NA,W,,,,,29,94,2,0,2,,,
1247,NY03060-1247,3,3108,2178,79.3,13.9,W,5,20,385,2359,W,W/BR,N,B/G,,31,94,2,0,0,,,
OH40,OH13-11-39,3,3109,2603,76.7,14.87,R,5,21,416,2309,R,W,A,,,27,110,1,0,0,,,
OH23,OH12-242-4,3,3110,2478,79.4,14.3,R,5,22,425,2069,R,W,N,,,28,96,0,1,0,,,
942,NY09096-51-942,3,3111,2934,77.6,15.21,W,6,22,426,2366,W,W,N,,,29,98,0,0,0,,,
1059,X08-39D,3,3112,2553,79.7,15.1,R,6,21,415,2321,R,W,N,,,30,86,1,0,0,,,
1339,NY11022-4-58-1339,3,3113,2509,76.5,14.87,R,6,20,386,139,R,,,,,31,88,2,5,0,,,
1245,NY04006-1245,3,3114,2667,77.7,14.48,R,6,19,375,2067,R,W,N,,,31,90,2,1,0,,,
1218,NY03143-1218,3,3115,2722,77.7,14.91,R,6,18,346,2088,R,BR,N,,,31,80,2,3,1,,,
1308,NY10127-10-62-1308,3,3116,2120,77.6,15.5,W,6,17,335,2435,W,W,N,,,1,80,0,0,0,,,
MSU97,MI14W0260,3,3117,1867,77.1,15.01,W,6,16,306,NA,W,,,,95,29,76,2,0,1,,,
1124,NY09087-15-69-1124,3,3118,2019,78.1,15.4,R,6,15,295,3170,R,W,,,,30,84,1,0,3,,,
MSU94,MI14W0251,3,3119,2195,76.6,14.76,W,6,14,266,NA,W,,,,90,28,90,1,0,3,,,
OH2,OH12-104-72,3,3120,1979,79.2,14.41,R,6,13,255,2398,R,W,N,,,28,78,0,0,1,,,
OH52,OH13-72-23,3,3121,1764,77.1,14.58,R,6,12,226,2200,R,W,A,10% N,95,28,82,1,0,1,,,
602_check,OH02-12686,3,3122,2306,78.8,15.23,R,6,11,215,checkPlots2015,R,W,N,,,31,82,0,0,0,,,
1098,09067-2-86-1098,3,3123,1996,80.4,14,R,6,10,186,2380,R,W,N,,,30,74,0,0,0,,,
OH21,OH12-236-26,3,3124,1850,80,14.22,R,6,9,175,2278,R,W,N,B/G,,29,88,1,0,0,,,
OH10,OH12-169-48,3,3125,2240,79.4,14.23,R,6,8,146,2109,R,W,N,,,29,74,0,0,0,,,
MSU77,MI14R0076,3,3126,1747,78.4,13.95,R,6,7,135,NA,R,,,,,30,80,1,0,3,,,
OH11,OH12-66-41,3,3127,1909,78.9,13.78,R,6,6,106,2163,R,W,N,,,28,98,1,2,3,,,
716_check,NY01016-AN-716,3,3128,2018,78,14.53,90W,6,5,95,checkPlots2015,W,W,A,,85,30,80,2,0,0,,,
1167,NY99045-1167,3,3129,2000,79.8,13.75,95W,6,4,66,2405,W,BR,N,,,28,88,0,0,1,,,
1288,NY10108-2-11-1288,3,3130,1994,75.2,14.73,M,6,3,55,2157,S,W,N,,,31,80,1,0,0,,,
1263,NY10086-6-09-1263,3,3131,1712,77,14.66,W,6,2,26,2315,W,BR/W,N,,95,31,84,1,0,0,,,
610,SE00 10303-35,3,3132,2450,78.4,15.31,W,6,1,15,2357,W,W,N,,,30,86,1,0,0,,,
OH12,OH12-185-48,4,3133,2045,78.7,14.7,R,7,1,14,2184,R,W/Br,N,,,28,76,1,0,0,,,
1354,NY11018-08-07-1354,4,3134,1938,77,13.93,R,7,2,27,160,R,,,,,29,88,2,0,0,,,
OH68,OH13-152-31,4,3135,2271,78.4,14.79,R,7,3,54,2078,R,W,N,,,30,96,0,0,0,,,
MSU19,MSU Line F2024R,4,3136,2115,80.7,13.89,R,7,4,67,2324,R,W,N,B/G,95,30,82,1,0,0,,,
1173,NY99049-1173,4,3137,1724,78.5,14.1,R,7,5,94,2239,R,W,N,,95,30,80,2,0,0,,,
842,NY05158-842,4,3138,2212,80.8,13.91,W,7,6,107,2048,W,BR,N,,,29,80,0,0,0,,,
1310,NY10131-1-51-1310,4,3139,1903,78,14.46,W,7,7,134,2327,W,W,N,,95,1,86,1,0,0,,,
1358,NY11019-09-17-1358,4,3140,2129,79.1,13.94,R,7,8,147,165,R,,,,,28,88,2,0,0,,,
1353,NY11018-08-06-1353,4,3141,1840,77.2,14.31,R,7,9,174,159,R,,,,95,29,76,2,3,0,,,
MSU59,MI14R0711,4,3142,1903,80.3,13.91,95R,7,10,187,2071,R,W,N,,90,27,86,1,0,0,,,
