Discard,Source,Entry,PLOT,PlotYldmoistcor,PlotYield,adj1,test MV10,adjustment,test MV8,adj,TW,Moisture,Lodging,HD,Sprout1,Sprout2,Sprout3,Sprout4,Sprout5,SproutMn,AdjPHS,,Harvest,Other
,126,96153,2048,2106,2201,5824,5471,5903,5562,5812,73.9,16.3,0,30,4,4,5,4,3,4,3.25,,17,
D,32,Purcell,2049,1747,1829,4840,5763,4626,5876,4513,73.2,16.5,0,4,0,2,1,5,1,1.8,1.05,,17,
,380,99066,2050,2060,2159,5713,5676,5587,5778,5485,73.3,16.6,0,31,3,2,1,2,3,2.2,1.45,,17,
,68,94032,2051,1905,1991,5268,5792,5026,5865,4953,74.6,16.3,0,2,4,4,4,0,4,3.2,2.45,,17,
,Caledonia,Caledonia,2052,2268,2385,6311,5725,6136,5678,6183,72.3,16.9,0,1,0,0,0,0,0,0,-0.75,,17,
,120,94052,2053,2404,2533,6702,5675,6577,5592,6660,72.7,17.1,0,4,6,0,0,0,0,1.2,0.45,,17,
,184,94025,2054,1969,2060,5451,5768,5233,5877,5124,74.4,16.4,0,31,1,2,0,4,1,1.6,0.85,,17,
,280,NYW103-193-9172,2055,2121,2223,5882,5749,5683,5867,5565,76.7,16.6,0,30,5,3,5,1,1,3,2.25,,17,
,166,94052,2056,2090,2170,5742,5880,5411,5978,5314,73.9,15.7,0,1,1,0,0,5,0,1.2,0.45,,17,
,143,96009,2057,2008,2090,5530,5914,5166,5945,5135,71.9,15.9,0,2,2,1,4,3,2,2.4,1.65,,17,
,132,96033,2058,2122,2217,5866,5950,5466,5811,5605,72.5,16.3,0,2,7,3,5,5,5,5,4.25,,17,
,NY 7708,NY7088,2059,2209,2292,6065,5745,5869,5662,5952,74.5,15.6,0,30,4,1,4,3,1,2.6,1.85,,17,
,260,99032,2060,2197,2274,6017,5657,5909,5655,5912,75.4,15.4,0,4,3,8,7,2,3,4.6,3.85,,17,
,189,96001,2061,2112,2205,5834,5602,5783,5549,5835,72,16.2,0,3,4,5,5,5,3,4.4,3.65,,17,
,153,94077,2062,2157,2256,5969,5578,5942,5563,5956,72.9,16.4,0,4,4,1,1,6,5,3.4,2.65,,17,
D,5,Goldcoin,2063,1611,1685,4459,5687,4321,5685,4324,74.6,16.4,3,29,1,0,0,2,0,0.6,-0.15,,17,
,Cal Res L,Cal Res L,2064,2080,2183,5776,5359,5967,5207,6119,72.7,16.7,0,29,4,5,0,3,5,3.4,2.65,,17,
,76,W105-116,2065,1705,1780,4710,5391,4868,5229,5030,76,16.2,0,2,2,0,0,0,2,0.8,0.05,,17,
,258,96030,2066,2080,2183,5776,5207,6119,5027,6299,73.4,16.7,0,30,2,0,0,0,2,0.8,0.05,,17,
,142,94052,2067,1929,2014,5329,5159,5719,4974,5905,72.9,16.2,0,3,3,5,2,2,2,2.8,2.05,,17,
D,9,Longberry#1,2068,1305,1347,3564,5354,3759,5390,3724,76.5,15.1,3,3,1,1,3,6,3,2.8,2.05,,17,
,96,W105-54,2069,1867,1937,5125,5171,5504,5185,5490,75.2,15.6,0,30,0,0,2,0,4,1.2,0.45,,17,
,Jensen,Jensen,2070,1912,1998,5287,5241,5596,5240,5596,73.6,16.3,0,3,5,8,1,7,3,4.8,4.05,,17,
,149,94058,2071,1835,1925,5094,5321,5323,5340,5303,73.6,16.7,0,4,1,3,5,3,2,2.8,2.05,,17,
,283,NYW103-90-9245,2072,2164,2275,6020,5336,6234,5281,6288,73.7,16.9,0,4,2,2,3,2,2,2.2,1.45,,17,
D,34,Richland,2073,2061,2154,5699,5416,5833,5659,5590,74.6,16.3,0,2,5,1,3,4,6,3.8,3.05,,17,
,209,96002,2074,1923,2009,5316,5390,5476,5651,5215,74.5,16.3,0,3,2,4,4,1,4,3,2.25,,17,
,241,99027,2075,2288,2411,6380,5392,6537,5439,6491,74.8,17.1,0,28,7,2,3,5,5,4.4,3.65,,17,
,232,97089,2076,2091,2187,5787,5473,5863,5544,5792,73.2,16.4,0,31,4,5,4,4,4,4.2,3.45,,17,nice!
,215,99048,2077,2258,2367,6263,5441,6372,5412,6401,75.4,16.6,0,4,3,0,0,0,4,1.4,0.65,,17,
,253,99014,2078,1697,1768,4678,5659,4569,5609,4619,75.5,16,0,2,4,4,3,3,3,3.4,2.65,,17,mouse
D,13,Vermont Winter Reeds,2079,1696,1758,4652,5588,4613,5609,4593,74.8,15.5,2,5,3,1,1,3,2,2,1.25,,17,
,85,93246SP,2080,1933,2020,5345,5531,5363,5452,5442,72.9,16.3,0,2,5,5,3,5,2,4,3.25,,17,
,Richland,Richland,2081,1970,2056,5440,5531,5459,5393,5597,74.4,16.2,0,1,5,5,5,4,5,4.8,4.05,,17,
