Discard,Source,Entry,PLOT,PlotYldmoistcor,PlotYield,adj1,test MV10,adjustment,test MV8,adj,TW,Moisture,Lodging,HD,Sprout1,Sprout2,Sprout3,Sprout4,Sprout5,SproutMn,AdjPHS,,Harvest,Other
,Superior,Superior,2199,1740,1814,4800,5657,4693,5432,4917,73.1,16.1,0,3,1,5,4,5,5,4,4.25,,13-Jul,
D,31,Houser,2200,1927,1999,5289,5592,5248,5480,5360,71.8,15.6,0,4,3,5,1,3,4,3.2,3.45,,13-Jul,
,171,96153,2201,2166,2270,6006,5462,6095,5714,5842,74,16.6,0,30,2,2,2,2,5,2.6,2.85,,13-Jul,
,372,99053,2202,2278,2385,6311,5517,6344,5761,6099,74.1,16.5,0,5,4,1,1,2,4,2.4,2.65,,13-Jul,
,181,94070,2203,2105,2202,5826,5796,5580,5855,5521,71.7,16.4,0,5,4,5,5,2,5,4.2,4.45,,13-Jul,
,84,94052,2204,2379,2486,6578,5590,6538,5733,6395,73.9,16.3,0,3,3,3,3,4,2,3,3.25,,13-Jul,
,161,94024,2205,2086,2187,5787,5692,5644,5854,5483,72.8,16.6,0,3,0,1,1,4,0,1.2,1.45,,13-Jul,
,228,99059,2206,2363,2482,6567,5560,6557,5538,6579,73.7,16.8,0,3,5,6,4,3,1,3.8,4.05,,13-Jul,
,77,94052,2207,1988,2080,5504,5656,5397,5530,5523,72.5,16.4,0,29,2,2,1,4,5,2.8,3.05,,13-Jul,
,348,99006,2208,1663,1727,4570,5681,4439,5584,4536,76.3,15.7,1,4,2,2,2,0,0,1.2,1.45,,13-Jul,
,95,94052,2209,1982,2067,5469,5494,5525,5317,5702,73.6,16.1,0,4,1,4,2,2,2,2.2,2.45,,13-Jul,
D,16,Stephens,2210,1549,1610,4260,5612,4197,5470,4340,74.4,15.8,0,28,5,0,2,1,2,2,2.25,,13-Jul,
,42,W105-17,2211,1868,1960,5186,5416,5320,5226,5510,76.3,16.7,0,3,1,0,2,1,0,0.8,1.05,,13-Jul,
,231,99059,2212,1922,2010,5318,5440,5428,5292,5577,74.3,16.4,0,3,1,1,0,5,3,2,2.25,,13-Jul,
,140,96008,2213,1940,2019,5342,5386,5506,5474,5418,72.2,15.9,0,31,6,3,5,3,4,4.2,4.45,,13-Jul,
,362,99029,2214,2107,2193,5803,5438,5914,5543,5810,73.8,15.9,0,3,7,3,3,1,2,3.2,3.45,,13-Jul,
,Richland,Richland,2215,2017,2095,5543,5657,5436,5855,5238,74.9,15.7,0,1,0,0,2,0,0,0.4,0.65,,13-Jul,
,353,99017,2216,2233,2328,6160,5569,6141,5781,5929,74,16.1,0,4,2,1,4,5,3,3,3.25,,13-Jul,
,192,94070,2217,2192,2286,6049,5792,5807,5927,5672,72.5,16.1,0,3,0,3,4,5,2,2.8,3.05,,13-Jul,
,315,96025,2218,2369,2450,6483,5800,6233,5917,6115,73.6,15.3,0,2,0,5,4,0,1,2,2.25,,13-Jul,
,117,94063,2219,2369,2455,6496,5850,6196,5919,6126,73.6,15.5,0,4,3,0,1,1,0,1,1.25,,13-Jul,
,221,99019,2220,1900,1969,5210,6094,4665,6200,4560,74.5,15.5,0,3,0,5,3,7,1,3.2,3.45,,13-Jul,
,195,94063,2221,2328,2410,6377,5713,6214,5678,6249,72.3,15.4,0,30,0,0,0,0,1,0.2,0.45,,13-Jul,
,Superior,Superior,2222,2057,2154,5699,5713,5536,5615,5634,72.6,16.5,0,2,0,3,3,5,0,2.2,2.45,,13-Jul,
,377,99060,2223,2123,2205,5834,5687,5697,5542,5842,73.2,15.7,0,2,4,3,5,4,5,4.2,4.45,,13-Jul,
,259,97067,2224,2341,2456,6499,5579,6469,5351,6697,72.6,16.7,0,3,1,0,1,1,4,1.4,1.65,,13-Jul,
D,28,Yorkstar,2225,1153,1192,3154,5881,2823,5888,2816,72.5,15.3,3,2,3,0,5,3,4,3,3.25,,13-Jul,bird damage
,307,96021,2226,1759,1840,4869,5658,4760,5625,4794,74.4,16.4,0,3,0,0,3,2,1,1.2,1.45,,13-Jul,
,NY 7708,NY7088,2227,2192,2281,6036,5547,6038,5425,6161,74.3,15.9,0,31,0,0,1,2,4,1.4,1.65,,13-Jul,
,47,94032,2228,2039,2128,5631,5385,5796,5289,5891,73.3,16.2,0,30,1,0,1,0,5,1.4,1.65,,13-Jul,
D,36,Batavia,2229,2226,2328,6160,5266,6444,5041,6669,72,16.4,0,4,5,0,4,5,3,3.4,3.65,,13-Jul,
,330,96185,2230,2187,2262,5985,4903,6632,4922,6613,73.4,15.3,0,5,2,2,3,3,4,2.8,3.05,,13-Jul,
,118,94058,2231,1912,1990,5266,4872,5943,5088,5728,71.9,15.9,0,2,1,6,0,5,3,3,3.25,,13-Jul,
D,6,Golden,2232,1582,1643,4347,5181,4716,5113,4784,73.1,15.7,1,5,3,0,4,0,0,1.4,1.65,,13-Jul,
,213,99060,2233,1835,1904,5038,5269,5318,5128,5459,75.1,15.6,0,30,5,0,2,3,2,2.4,2.65,,13-Jul,
D,10,Martin,2234,745,768,2032,5631,1951,5565,2017,74.9,15,4,5,1,0,3,5,0,1.8,2.05,,13-Jul,bird damage
,267,NY93285-9161,2235,1969,2068,5472,5373,5649,5198,5824,70.8,16.8,0,3,3,0,4,4,5,3.2,3.45,,13-Jul,
,177,94081,2236,1935,2011,5321,5409,5462,5355,5516,70,15.8,0,2,5,6,0,3,5,3.8,4.05,,13-Jul,
,136,94025,2237,2335,2435,6443,5311,6682,5437,6556,75,16.1,0,1,4,4,3,5,4,4,4.25,,13-Jul,
,107,96067,2238,2400,2513,6649,5377,6822,5548,6651,72.7,16.5,0,30,0,0,0,0,1,0.2,0.45,,13-Jul,
,80,94032,2239,2337,2452,6488,5628,6410,6151,5887,76.6,16.7,0,2,2,0,2,0,0,0.8,1.05,,13-Jul,
,Caledonia,Caledonia,2240,2312,2406,6366,5780,6136,6287,5629,72.6,15.9,0,1,1,0,4,1,0,1.2,1.45,,13-Jul,
,40,93237SP,2241,2222,2317,6131,6233,5448,6442,5238,74.1,16.1,0,3,3,1,2,0,1,1.4,1.65,,13-Jul,
,127,94052,2242,2226,2316,6128,6124,5554,6184,5494,73.4,15.9,0,2,4,4,4,4,4,4,4.25,,13-Jul,
,210,94042,2243,2439,2530,6694,6120,6124,6014,6230,73.6,15.6,0,1,0,0,5,4,0,1.8,2.05,,13-Jul,
,Jensen,Jensen,2244,2339,2434,6440,6128,5862,6017,5973,74.5,15.9,0,3,5,5,1,1,5,3.4,3.65,,13-Jul,
,159,96047,2245,2293,2391,6327,6004,5873,5898,5979,72.7,16.1,0,3,0,2,0,1,0,0.6,0.85,,13-Jul,
,299,96004,2246,1576,1654,4376,6161,3765,6139,3787,74.3,16.7,0,6,3,3,3,3,0,2.4,2.65,,13-Jul,
,158,96150,2247,2118,2213,5856,5969,5436,5929,5477,71.7,16.3,0,2,0,2,2,0,0,0.8,1.05,,13-Jul,
,354,99017,2248,2267,2366,6260,5992,5819,5887,5923,73.8,16.2,0,4,0,0,0,0,0,0,0.25,,13-Jul,
,385,NY03015,2249,1919,2001,5295,6041,4804,5909,4936,73.8,16.1,0,4,0,0,0,0,0,0,0.25,,13-Jul,
,288,Pioneer 25W36,2250,2207,2311,6115,5752,5913,5594,6071,74.3,16.5,0,30,1,3,0,0,0,0.8,1.05,,13-Jul,
,Cal Res L,Cal Res L,2251,2144,2238,5922,5857,5615,5983,5488,73.4,16.2,0,29,5,1,0,4,4,2.8,3.05,,13-Jul,
,135,94058,2252,2441,2556,6763,5781,6532,5947,6366,74.3,16.5,0,3,1,1,3,3,1,1.8,2.05,,13-Jul,
,378,99060,2253,2063,2136,5652,6055,5147,6054,5148,74.6,15.4,1,4,1,0,0,0,0,0.2,0.45,,13-Jul,
,400,NY03143,2254,1676,1749,4628,6073,4105,6146,4031,74.7,16.2,2,31,1,3,1,0,0,1,1.25,,13-Jul,
,174,94046,2255,2642,2758,7298,5703,7144,5702,7145,72.4,16.2,0,2,0,3,0,1,1,1,1.25,,13-Jul,Mixed
,Caledonia,Caledonia,2256,2313,2422,6409,5860,6099,5820,6138,73.7,16.5,0,2,0,1,2,0,0,0.6,0.85,,13-Jul,
,123,96157,2257,2177,2268,6001,5846,5705,5722,5829,72.3,16,0,31,1,0,0,1,0,0.4,0.65,,13-Jul,
,395,NY03143,2258,1813,1894,5012,5785,4776,5680,4882,73.5,16.3,2,31,0,4,0,3,0,1.4,1.65,,13-Jul,
,239,97072,2259,1899,1978,5234,5631,5152,5754,5029,75.2,16,1,6,1,0,0,0,0,0.2,0.45,,13-Jul,
,318,96028,2260,2165,2258,5975,5551,5973,5448,6076,73.9,16.1,0,4,1,3,0,3,3,2,2.25,,13-Jul,
,297,88044,2261,2022,2106,5572,5613,5509,5303,5819,75,16,0,3,0,1,0,0,3,0.8,1.05,,13-Jul,
,155,94025,2262,1576,1633,4321,5566,4305,5406,4465,74.7,15.5,0,3,0,0,0,0,0,0,0.25,,13-Jul,
,NY 7708,NY7088,2263,1982,2058,5445,5323,5672,5277,5718,74.8,15.7,0,31,0,0,1,0,1,0.4,0.65,,13-Jul,
,392,NY03086,2264,2021,2114,5594,5336,5807,5389,5754,74.2,16.4,0,2,2,2,1,0,1,1.2,1.45,,13-Jul,
,230,99068,2265,1757,1830,4842,5510,4882,5486,4906,73.7,16,0,3,0,0,1,0,3,0.8,1.05,,13-Jul,
,235,99021,2266,2018,2106,5572,5460,5662,5382,5741,74.1,16.2,0,2,0,0,1,3,0,0.8,1.05,,13-Jul,
,214,97067,2267,1861,1931,5109,5539,5120,5687,4972,73.5,15.6,0,5,0,0,0,1,2,0.6,0.85,,13-Jul,
,252,97083,2268,2282,2372,6276,5438,6389,5576,6250,73.7,15.8,0,6,0,0,1,1,1,0.6,0.85,,13-Jul,
,332,96185,2269,2167,2267,5998,5686,5862,5728,5821,73.8,16.4,0,5,0,1,0,1,2,0.8,1.05,,13-Jul,mouse
,204,96002,2270,1975,2066,5467,5866,5150,6029,4988,73.7,16.4,0,1,2,0,1,2,1,1.2,1.45,,13-Jul,
,281,NYW103-226-9195,2271,2275,2382,6303,5892,5960,6064,5789,77.7,16.5,0,4,0,3,0,0,0,0.6,0.85,,13-Jul,
,160,96052,2272,2068,2163,5723,6142,5131,6343,4930,75.4,16.4,0,4,0,4,1,0,0,1,1.25,,13-Jul,
,114,94024,2273,2363,2467,6528,6176,5902,6296,5781,73.9,16.2,0,2,0,0,1,1,2,0.8,1.05,,13-Jul,
,Jensen,Jensen,2274,2427,2539,6718,6284,5984,6321,5947,73.5,16.4,0,3,0,3,2,1,1,1.4,1.65,,13-Jul,
,112,94061,2275,2412,2528,6689,6274,5964,6410,5829,72.6,16.6,0,3,0,1,5,0,2,1.6,1.85,,13-Jul,
,331,96185,2276,2436,2556,6763,6246,6067,6337,5976,74.8,16.7,0,3,2,1,0,0,0,0.6,0.85,,13-Jul,
,108,94035,2277,2419,2536,6710,6357,5903,6443,5817,73.4,16.6,0,4,0,1,1,5,2,1.8,2.05,,13-Jul,
,391,NY03085,2278,2316,2412,6382,6451,5481,6532,5400,74.3,16,0,4,2,3,0,2,1,1.6,1.85,,13-Jul,
,321,96034,2279,2225,2325,6152,6511,5191,6483,5219,77.5,16.3,0,5,5,6,3,5,2,4.2,4.45,,13-Jul,
,224,99021,2280,2087,2188,5789,6478,4861,6422,4917,74.7,16.6,0,6,4,3,4,0,2,2.6,2.85,,13-Jul,
,Caledonia,Caledonia,2281,2357,2466,6525,6339,5736,6242,5833,72.8,16.4,0,2,1,0,0,0,2,0.6,0.85,,13-Jul,
,172,94052,2282,2488,2611,6909,6198,6261,6063,6395,72.5,16.7,0,3,0,0,0,0,0,0,0.25,,13-Jul,
,322,96045,2283,2191,2304,6096,6140,5506,6039,5608,75.3,16.9,0,2,2,3,0,5,0,2,2.25,,13-Jul,
,287,Pioneer 25W43,2284,2108,2207,5840,5957,5432,5880,5509,71.9,16.5,0,31,2,0,4,0,5,2.2,2.45,,13-Jul,
,64,W105-129,2285,2194,2290,6059,5834,5775,5800,5809,76.3,16.2,0,2,0,1,0,2,0,0.6,0.85,,13-Jul,
,Jensen,Jensen,2286,2049,2139,5660,5786,5423,5694,5516,73.6,16.2,0,3,5,3,3,5,5,4.2,4.45,,13-Jul,
,300,96009,2287,1946,2031,5374,5662,5262,5398,5526,73.8,16.2,0,2,0,1,1,2,2,1.2,1.45,,13-Jul,
,71,W105-57,2288,1681,1749,4628,5541,4637,5301,4877,76.8,15.9,0,1,0,0,1,0,1,0.4,0.65,,13-Jul,
,305,96021,2289,1944,2029,5369,5182,5736,4986,5932,76.2,16.2,0,2,2,3,3,0,1,1.8,2.05,,13-Jul,
,72,93301,2290,1913,1993,5273,5146,5677,4946,5877,73.4,16,0,2,2,2,3,0,4,2.2,2.45,,13-Jul,Mixed
,336,96192,2291,1551,1609,4257,5073,4734,4877,4931,76,15.6,0,2,2,1,5,1,5,2.8,3.05,,13-Jul,Discard
,368,99046,2292,1661,1728,4572,4964,5158,4826,5296,73.4,15.9,1,3,1,0,0,1,1,0.6,0.85,,13-Jul,
,Superior,Superior,2293,1476,1536,4064,5077,4537,5097,4517,73.3,15.9,2,3,1,1,2,2,1,1.4,1.65,,13-Jul,some bird damage
,285,NYW103-119-9115,2294,2032,2132,5641,4985,6206,4982,6209,75.8,16.7,0,2,0,0,0,0,0,0,0.25,,13-Jul,
,133,94052,2295,1486,1546,4091,5257,4383,5241,4399,71.9,15.9,2,30,1,1,0,0,1,0.6,0.85,,13-Jul,
,106,94052,2296,1894,1996,5281,5179,5652,5283,5548,73,17.1,2,4,0,3,2,3,3,2.2,2.45,,13-Jul,
,122,96056,2297,2279,2376,6287,5192,6645,5386,6451,72.3,16.1,0,4,1,0,4,1,2,1.6,1.85,,13-Jul,
,206,96056,2298,2176,2279,6030,5354,6226,5613,5966,73.1,16.5,0,4,0,1,0,0,0,0.2,0.45,,13-Jul,
,233,96030,2299,2102,2190,5795,5478,5866,5634,5710,72.4,16,0,2,3,1,6,5,5,4,4.25,,13-Jul,
,272,NY03179FHB-10,2300,2102,2185,5782,5533,5798,5700,5631,73.7,15.8,0,1,2,3,5,5,6,4.2,4.45,,13-Jul,
,393,NY03086,2301,2321,2420,6403,5516,6437,5724,6229,74.4,16.1,0,4,0,0,1,1,0,0.4,0.65,,13-Jul,
,41,94025,2302,2048,2127,5628,5667,5511,5638,5540,74.6,15.7,0,4,4,0,2,3,4,2.6,2.85,,13-Jul,
,121,94025,2303,2026,2106,5572,5738,5385,5632,5490,73.6,15.8,0,1,1,0,0,1,2,0.8,1.05,,13-Jul,
,347,99002,2304,1672,1740,4604,5747,4406,5706,4448,73.4,15.9,0,2,0,0,3,5,1,1.8,2.05,,13-Jul,
,Superior,Superior,2305,2202,2303,6094,5628,6016,5587,6056,73.3,16.4,0,3,4,1,1,1,0,1.4,1.65,,13-Jul,
D,19,U1273-5-18-8,2306,1744,1822,4821,5814,4557,5744,4627,74.7,16.3,2,29,3,0,1,4,0,1.6,1.85,,13-Jul,
,310,96021,2307,2146,2242,5932,5760,5723,5696,5787,75.7,16.3,0,31,1,3,0,0,0,0.8,1.05,,13-Jul,
,137,94042,2308,1961,2047,5416,5874,5092,5943,5023,73.3,16.2,0,3,5,0,0,0,1,1.2,1.45,,13-Jul,
,381,99066,2309,2303,2389,6321,5819,6052,6001,5870,74.3,15.6,0,4,2,0,1,3,0,1.2,1.45,,13-Jul,
,NY 7708,NY7088,2310,2326,2413,6385,5868,6067,5997,5937,74.1,15.6,0,30,5,2,2,4,0,2.6,2.85,,13-Jul,
,279,NYW103-187-9166,2311,2309,2400,6350,6047,5853,6195,5706,75.7,15.8,0,3,1,4,4,2,2,2.6,2.85,,13-Jul,
,289,W1062,2312,2547,2659,7036,6009,6577,6167,6419,74.7,16.2,0,1,3,1,2,0,2,1.6,1.85,,13-Jul,
,389,NY03084,2313,2169,2259,5977,6144,5383,6261,5266,75.5,16,0,2,1,0,1,1,2,1,1.25,,13-Jul,
D,25,Genesee,2314,2235,2314,6123,5971,5702,5996,5676,73.3,15.4,2,3,3,4,6,-,3,4,4.25,,13-Jul,
,Cal Res L,Cal Res L,2315,2300,2406,6366,5938,5978,5834,6082,72.6,16.4,0,29,3,0,2,0,0,1,1.25,,13-Jul,
,197,96004,2316,2315,2416,6393,5910,6032,5796,6146,72.7,16.2,0,30,0,1,1,1,3,1.2,1.45,,13-Jul,Discard
,178,94081,2317,1857,1934,5117,5839,4828,5625,5042,73.3,16,0,1,2,3,2,3,0,2,2.25,,13-Jul,
,390,NY03085,2318,1571,1642,4345,5895,3999,5742,4152,74.3,16.3,0,1,1,1,5,5,1,2.6,2.85,,13-Jul,
,79,94052,2319,1936,2015,5332,5589,5293,5474,5408,73.9,15.9,0,4,1,3,0,4,5,2.6,2.85,,13-Jul,Bad planting
,165,94042,2320,2212,2295,6073,5414,6209,5206,6416,71.6,15.6,0,1,0,0,1,0,0,0.2,0.45,,13-Jul,
,70,94025,2321,1592,1660,4392,5490,4452,5268,4674,74.5,16.1,0,5,3,0,3,2,4,2.4,2.65,,13-Jul,Bad Planting
D,11,Pride of Genesee,2322,2255,2322,6144,5191,6503,5050,6644,76.9,14.9,3,6,0,1,0,1,1,0.6,0.85,,13-Jul,
,284,NYW103-102-9103,2323,1797,1874,4959,5195,5313,5311,5197,75.1,16.1,0,3,0,3,0,0,2,1,1.25,,13-Jul,
,Richland,Richland,2324,1802,1877,4967,5181,5336,5266,5250,73.2,16,0,2,4,2,0,2,1,1.8,2.05,,13-Jul,
,251,99069,2325,1874,1969,5210,5170,5590,5037,5723,73.3,16.8,0,4,3,4,5,0,4,3.2,3.45,,13-Jul,
,139,94081,2326,1848,1937,5125,5198,5477,5189,5486,72.2,16.6,0,4,5,2,2,4,4,3.4,3.65,,13-Jul,
,134,96056,2327,1894,1983,5247,5140,5657,5108,5689,71.9,16.5,0,30,1,4,5,3,3,3.2,3.45,,13-Jul,
,157,94052,2328,1795,1882,4980,5309,5221,5248,5281,74,16.6,0,30,1,2,5,3,3,2.8,3.05,,13-Jul,
,92,W105-108,2329,1619,1694,4482,5339,4693,5434,4598,72.5,16.4,0,2,0,0,2,2,0,0.8,1.05,,13-Jul,
,163,96052,2330,1993,2087,5522,5407,5665,5486,5586,72,16.5,0,4,4,3,0,3,5,3,3.25,,13-Jul,
,83,93306,2331,2037,2124,5620,5452,5718,5523,5647,72.4,16.1,0,1,5,3,2,4,4,3.6,3.85,,13-Jul,
,Jensen,Jensen,2332,2115,2196,5811,5541,5820,5629,5731,73.9,15.7,0,4,4,2,5,3,2,3.2,3.45,,13-Jul,
,38,94032,2333,2162,2250,5954,5581,5923,5697,5806,73.7,15.9,0,2,1,0,3,1,0,1,1.25,,13-Jul,
,69,W105-30,2334,2410,2521,6671,5447,6774,5625,6595,74.6,16.4,0,3,4,0,5,0,4,2.6,2.85,,13-Jul,
,152,94064,2335,2019,2086,5520,5659,5410,5823,5246,72.5,15.2,0,4,1,1,1,0,0,0.6,0.85,,13-Jul,
,349,99008,2336,2274,2376,6287,5690,6147,5720,6117,73.2,16.3,0,2,2,4,3,3,4,3.2,3.45,,13-Jul,
,282,NYW103-57-9222,2337,2050,2142,5668,5767,5450,5780,5437,75.5,16.3,0,5,1,0,1,0,1,0.6,0.85,,13-Jul,
D,24,Valprize,2338,1681,1747,4623,5876,4296,5874,4298,74.9,15.8,3,6,2,0,2,0,4,1.6,1.85,,13-Jul,
,Caledonia,Caledonia,2339,2153,2250,5954,5726,5778,5579,5924,71.8,16.3,0,2,0,0,0,0,2,0.4,0.65,,13-Jul,
,52,93301,2340,2019,2101,5559,5678,5431,5574,5535,72.1,15.9,0,1,1,2,0,1,5,1.8,2.05,,13-Jul,
,162,96018,2341,2059,2145,5676,5664,5561,5605,5621,73.4,16,0,1,1,2,4,0,3,2,2.25,,13-Jul,
,247,96007,2342,2061,2140,5662,5702,5511,5633,5579,73.2,15.7,0,5,0,1,0,1,3,1,1.25,,13-Jul,
,257,99021,2343,2052,2131,5639,5630,5558,5752,5437,74.1,15.7,0,4,0,1,4,2,1,1.6,1.85,,13-Jul,
,182,96155,2344,1854,1921,5083,5686,4947,5785,4848,73.5,15.5,0,3,2,1,5,1,2,2.2,2.45,,13-Jul,
,346,97089,2345,2405,2513,6649,5709,6490,5697,6502,74,16.3,0,1,0,3,2,0,0,1,1.25,,13-Jul,
,234,99012,2346,2118,2222,5879,5718,5711,5743,5686,72.7,16.7,0,1,0,3,0,5,3,2.2,2.45,,13-Jul,
,43,W105-93,2347,1999,2098,5551,5781,5320,5809,5292,75.7,16.7,1,4,0,0,0,0,0,0,0.25,,13-Jul,
,89,94025,2348,2049,2141,5665,5824,5391,5867,5348,75.3,16.3,0,3,0,0,0,4,2,1.2,1.45,,13-Jul,
,Cal Res L,Cal Res L,2349,2312,2426,6419,5758,6211,5857,6112,72.7,16.7,0,30,4,2,5,3,0,2.8,3.05,,13-Jul,
,102,96049,2350,1911,1995,5279,5794,5034,5777,5052,72,16.2,0,2,2,0,0,1,0,0.6,0.85,,13-Jul,
D,265,NY92039-9065,2351,2130,2214,5858,5679,5729,5533,5875,73.4,15.8,0,3,1,7,0,5,1,2.8,3.05,,13-Jul,
,266,PioneerVar25W41,2352,2251,2350,6218,5590,6178,5559,6209,73.9,16.2,0,29,5,4,2,5,6,4.4,4.65,,13-Jul,
,356,99022,2353,2081,2175,5755,5654,5651,5665,5639,72.9,16.3,0,4,3,0,1,0,2,1.2,1.45,,13-Jul,
,87,W105-40,2354,1754,1839,4866,5717,4699,5636,4780,75.6,16.6,0,4,0,1,0,1,0,0.4,0.65,,13-Jul,
,344,97067,2355,1638,1704,4509,5658,4400,5611,4448,72.6,15.9,1,3,0,0,6,1,2,1.8,2.05,,13-Jul,
,NY 7708,NY7088,2356,2225,2313,6120,5471,6199,5447,6223,74.4,15.8,0,30,4,6,6,5,4,5,5.25,,13-Jul,
,168,94058,2357,2196,2288,6054,5543,6060,5420,6184,74,16,0,2,1,2,0,3,5,2.2,2.45,,13-Jul,
,261,99062,2358,1910,2000,5292,5599,5243,5502,5339,74.2,16.5,0,3,0,0,0,0,0,0,0.25,,13-Jul,
,88,W105-136,2359,1714,1785,4723,5563,4710,5626,4647,77.6,16,0,3,1,0,2,1,0,0.8,1.05,,13-Jul,
,340,96195,2360,2234,2327,6157,5412,6295,5594,6113,74.2,16,0,3,0,5,0,0,1,1.2,1.45,,13-Jul,
,Richland,Richland,2361,2147,2243,5935,5633,5852,5712,5772,74.5,16.3,0,1,1,0,0,0,2,0.6,0.85,,13-Jul,
,164,94052,2362,2058,2137,5655,5860,5344,5804,5401,73,15.7,0,3,2,2,2,4,1,2.2,2.45,,13-Jul,Mixed
,90,94025,2363,1913,1997,5284,5443,5391,5385,5449,74.5,16.2,0,31,0,5,2,2,3,2.4,2.65,,13-Jul,
,116,94025,2364,2069,2149,5686,5446,5790,5556,5680,74.6,15.7,0,3,0,0,0,1,0,0.2,0.45,,13-Jul,
,248,99069,2365,2440,2588,6848,5332,7065,5306,7092,73,17.7,0,3,1,1,1,1,1,1,1.25,,13-Jul,
,49,94024,2366,2350,2458,6504,5509,6545,5375,6679,73.9,16.4,0,3,1,0,0,0,1,0.4,0.65,,13-Jul,
D,21,Forward,2367,580,594,1572,5972,1150,6016,1105,75.9,14.3,3,5,0,3,2,6,4,3,3.25,,13-Jul,mouse and bird damage
,240,96023,2368,2334,2454,6493,5511,6532,5522,6521,74.5,16.9,0,4,1,3,0,3,0,1.4,1.65,,13-Jul,
,334,96192,2369,1923,2009,5316,5705,5161,5759,5106,74.3,16.3,0,6,0,3,3,0,1,1.4,1.65,,13-Jul,
,91,94025,2370,2218,2322,6144,5681,6013,5534,6159,76.3,16.5,0,4,1,1,3,0,1,1.2,1.45,,13-Jul,
D,18,U1266-4-11-6,2371,2108,2212,5853,5690,5713,5443,5959,74.9,16.7,0,29,1,4,0,4,1,2,2.25,,13-Jul,
,350,99010,2372,2250,2363,6252,5523,6279,5894,5908,73.1,16.8,0,3,3,0,0,1,0,0.8,1.05,,13-Jul,
,303,96014,2373,2325,2422,6409,5348,6610,5677,6281,75.3,16,0,6,3,0,1,0,0,0.8,1.05,,13-Jul,
,NY 7708,NY7088,2374,2128,2221,5877,5806,5620,5782,5645,73.5,16.2,0,1,1,1,0,1,0,0.6,0.85,,13-Jul,
,154,94042,2375,1996,2073,5485,5760,5275,5767,5268,72.2,15.7,0,1,4,3,6,3,0,3.2,3.45,,13-Jul,
,339,96195,2376,2028,2108,5578,5694,5433,5618,5509,72.6,15.8,0,3,4,4,3,4,4,3.8,4.05,,13-Jul,
,73,W105-159,2377,1785,1857,4914,5381,5082,5213,5250,75.9,15.9,0,3,2,1,5,4,1,2.6,2.85,,13-Jul,
,328,96161,2378,2033,2124,5620,5223,5946,4947,6223,75,16.3,0,2,4,3,5,0,1,2.6,2.85,,13-Jul,
,Cal Res L,Cal Res L,2379,2046,2129,5633,5129,6054,4876,6307,72.4,15.9,0,29,4,3,1,1,0,1.8,2.05,,13-Jul,
,360,99026,2380,1724,1798,4758,5088,5219,4940,5367,72.4,16.1,0,4,3,4,0,3,3,2.6,2.85,,13-Jul,
D,23,Yorkwin,2381,860,887,2347,5315,2582,5261,2636,74.8,15.1,4,6,3,4,0,0,0,1.4,1.65,,13-Jul,
,48,93244,2382,1808,1883,4982,5053,5480,5004,5528,72.9,16,0,1,4,0,5,5,0,2.8,3.05,,13-Jul,
,Jensen,Jensen,2383,1933,2011,5321,5013,5858,4949,5922,73.9,15.9,0,3,5,5,4,6,6,5.2,5.45,,13-Jul,
,144,96052,2384,1861,1937,5125,5032,5643,4883,5792,75.2,15.9,0,4,3,0,1,3,4,2.2,2.45,,13-Jul,
,138,96049,2385,2085,2167,5734,5018,6266,4973,6310,74.5,15.8,0,3,2,5,4,2,5,3.6,3.85,,13-Jul,
,342,97067,2386,1986,2077,5496,5060,5985,5438,5608,73.6,16.4,0,3,2,3,2,0,3,2,2.25,,13-Jul,
,269,NY93285-7110,2387,1991,2085,5517,5199,5868,5582,5485,71.2,16.5,0,3,-,1,1,4,3,2.25,2.5,,13-Jul,
D,4,Genesee Giant,2388,1786,1855,4908,5598,4860,5709,4749,75.8,15.7,1,4,0,0,3,0,0,0.6,0.85,,13-Jul,
,110,94046,2389,2200,2301,6088,5570,6068,5657,5981,71.9,16.4,0,2,-,3,2,2,1,2,2.25,,13-Jul,Mixed
,359,99026,2390,2106,2201,5824,5585,5789,5624,5750,74.3,16.3,0,2,0,4,4,5,3,3.2,3.45,,13-Jul,
,145,94052,2391,2221,2328,6160,5578,6132,5569,6141,73.2,16.6,0,4,2,0,0,2,,1,1.25,,13-Jul,
,329,96183,2392,2084,2166,5731,5663,5618,5702,5579,75.1,15.8,0,1,-,0,2,3,4,2.25,2.5,,13-Jul,
,376,99059,2393,2127,2225,5887,5677,5760,5793,5644,75.2,16.4,0,3,4,4,1,3,1,2.6,2.85,,13-Jul,
,Richland,Richland,2394,1891,1966,5202,5737,5015,5796,4956,74.4,15.8,0,2,1,0,1,2,3,1.4,1.65,,13-Jul,
,225,99068,2395,1961,2038,5393,5790,5153,5748,5194,73.1,15.8,0,1,1,0,3,4,2,2,2.25,,13-Jul,
,176,94046,2396,2240,2326,6155,5660,6045,5576,6128,73.2,15.7,0,2,0,0,1,0,1,0.4,0.65,,13-Jul,
,62,W105-63,2397,2098,2190,5795,5734,5610,5681,5663,75.4,16.2,0,3,0,3,0,0,3,1.2,1.45,,13-Jul,
,323,96046,2398,1956,2050,5424,5755,5219,5742,5232,72.9,16.6,0,5,0,0,1,0,1,0.4,0.65,,13-Jul,
