Source,Entry,PLOT,KC,sort,Sprout Score,,,,,,mn,harv,mist ,score,
479,Pioneer_25R47,1098,R,,00110,0,0,1,1,0,0.40,7-Jul,14-Jul,18-Jul,
431,Roane,1108,R,,00000,0,0,0,0,0,0.00,7-Jul,14-Jul,18-Jul,
602,OH02-12686,1113,R,,02022,0,2,0,2,2,1.20,7-Jul,14-Jul,18-Jul,
470,AR98023-5-1,1118,R,,01000,0,1,0,0,0,0.20,7-Jul,14-Jul,18-Jul,
454,M05-1531,1125,R,,10052,1,0,0,5,2,1.60,7-Jul,14-Jul,18-Jul,one white kernel spike
786,NY06073-106,1132,M,,20106,2,0,1,0,6,1.80,7-Jul,14-Jul,18-Jul,one white kernel spike
469,AR98022-19-3,1135,R,,21100,2,1,1,0,0,0.80,7-Jul,14-Jul,18-Jul,
729,NY07105-83,1144,M,,10000,1,0,0,0,0,0.20,7-Jul,14-Jul,18-Jul,
730,NY07105-85,1145,M,,02230,0,2,2,3,0,1.40,7-Jul,14-Jul,18-Jul,white
633,IL05-4236,1148,R,,31103,3,1,1,0,3,1.60,7-Jul,14-Jul,18-Jul,
485,FS_300,1149,R,,00015,0,0,0,1,5,1.20,7-Jul,14-Jul,18-Jul,
442,OH04-264-58,1151,R,,10010,1,0,0,1,0,0.40,7-Jul,14-Jul,18-Jul,
453,B040798,1162,R,,12010,1,2,0,1,0,0.80,7-Jul,14-Jul,18-Jul,
432,INW0411,1166,R,,31321,3,1,3,2,1,2.00,7-Jul,14-Jul,18-Jul,
476,R055,1167,R,,00122,0,0,1,2,2,1.00,7-Jul,14-Jul,18-Jul,
OH751,OH751,1168,R,,00100,0,0,1,0,0,0.20,7-Jul,14-Jul,18-Jul,
603,OH02-12678,1170,R,,45645,4,5,6,4,5,4.80,7-Jul,14-Jul,18-Jul,white
466,VA05W-151,1172,R,,00000,0,0,0,0,0,0.00,7-Jul,14-Jul,18-Jul,
452,M05*1589,1173,R,,00010,0,0,0,1,0,0.20,7-Jul,14-Jul,18-Jul,
779,NY06073-54,1174,M,,00500,0,0,5,0,0,1.00,7-Jul,14-Jul,18-Jul,one white kernel spike
OH751,OH751,1176,R,,00021,0,0,0,2,1,0.60,7-Jul,14-Jul,18-Jul,
464,Probe_exp.,1179,R,,20200,2,0,2,0,0,0.80,7-Jul,14-Jul,18-Jul,
478,Ruby_red_(MSU_E1007R),1182,R,,12010,1,2,0,1,0,0.80,7-Jul,14-Jul,18-Jul,
482,RO65,1185,R,,00000,0,0,0,0,0,0.00,7-Jul,14-Jul,18-Jul,
474,Bess,1189,R,,10041,1,0,0,4,1,1.20,7-Jul,14-Jul,18-Jul,
473,7730R,1192,R,,00000,0,0,0,0,0,0.00,7-Jul,14-Jul,18-Jul,
458,W06-089,1196,R,,00000,0,0,0,0,0,0.00,7-Jul,14-Jul,18-Jul,
486,FS_627,1198,R,,00000,0,0,0,0,0,0.00,7-Jul,14-Jul,18-Jul,
446,MD01W233-07-1,1199,R,,00000,0,0,0,0,0,0.00,7-Jul,14-Jul,18-Jul,
481,Emmit,1201,R,,00000,0,0,0,0,0,0.00,7-Jul,14-Jul,18-Jul,
618,Shirley,1223,R,,10000,1,0,0,0,0,0.20,7-Jul,14-Jul,18-Jul,
463,Blazer_exp.,1224,R,,10021,1,0,0,2,1,0.80,7-Jul,14-Jul,18-Jul,
725,NY07106-116,1227,R,,00110,0,0,1,1,0,0.40,7-Jul,14-Jul,18-Jul,
OH751,OH751,1230,R,,00100,0,0,1,0,0,0.20,7-Jul,14-Jul,18-Jul,
439,KY97C-0508-01-01A-1,1232,R,,20020,2,0,0,2,0,0.80,7-Jul,14-Jul,18-Jul,
477,OH751,1237,R,,20010,2,0,0,1,0,0.60,7-Jul,14-Jul,18-Jul,
440,IL04-8445,1244,R,,00000,0,0,0,0,0,0.00,7-Jul,14-Jul,18-Jul,
437,KY97C-0321-02-01,1255,R,,00011,0,0,0,1,1,0.40,7-Jul,14-Jul,18-Jul,
460,Z03-1281,1261,R,,00031,0,0,0,3,1,0.80,7-Jul,14-Jul,18-Jul,
455,P99751RA1-6-3-94,1265,R,,00100,0,0,1,0,0,0.20,7-Jul,14-Jul,18-Jul,
447,G89209,1266,R,,00000,0,0,0,0,0,0.00,7-Jul,14-Jul,18-Jul,
724,NY07106-106,1268,M,,00200,0,0,2,0,0,0.40,7-Jul,14-Jul,18-Jul,
456,P02444A1-23-1,1281,R,,00010,0,0,0,1,0,0.20,7-Jul,14-Jul,18-Jul,
451,M05-1526,1283,R,,00000,0,0,0,0,0,0.00,7-Jul,14-Jul,18-Jul,
487,FS_652,1284,R,,00000,0,0,0,0,0,0.00,7-Jul,14-Jul,18-Jul,
