Source,Entry,PLOT,KC,sort,Sprout Score,,,,,,mn,harv,mist ,score,
791,NY05075-11-7-2,1241,,,44444,4,4,4,4,4,4.00,7-Jul,12-Jul,16-Jul,
266,PioneerVar25W41,1242,,,00011,0,0,0,1,1,0.40,7-Jul,12-Jul,16-Jul,
522,NY03015-185,1243,,,43344,4,3,3,4,4,3.60,7-Jul,12-Jul,16-Jul,
705,7388xD8006 - 219,1245,,,43334,4,3,3,3,4,3.40,7-Jul,12-Jul,16-Jul,
531,NY99048-205,1247,,,54444,5,4,4,4,4,4.20,7-Jul,12-Jul,16-Jul,
790,NY05072-8-4-2,1248,,,44415,4,4,4,1,5,3.60,7-Jul,12-Jul,16-Jul,
663,EG286-0,1249,,,01003,0,1,0,0,3,0.80,7-Jul,12-Jul,16-Jul,
428,TW528-001,1250,,,42412,4,2,4,1,2,2.60,7-Jul,12-Jul,16-Jul,
Rich,Richland,1252,,,4-335,4,-,3,3,5,3.75,7-Jul,12-Jul,16-Jul,
722,NY07105-63,1253,,,41550,4,1,5,5,0,3.00,7-Jul,12-Jul,16-Jul,
403,NY07012-139,1254,,,30441,3,0,4,4,1,2.40,7-Jul,12-Jul,16-Jul,
249,99059,1256,,,43424,4,3,4,2,4,3.40,7-Jul,12-Jul,16-Jul,
210,94042,1257,,,32342,3,2,3,4,2,2.80,7-Jul,12-Jul,16-Jul,
Cal,Caledonia,1258,,,42345,4,2,3,4,5,3.60,7-Jul,12-Jul,16-Jul,
516,NY03015-165,1259,,,02320,0,2,3,2,0,1.40,7-Jul,12-Jul,16-Jul,
661,0%Germ-27,1260,,,01131,0,1,1,3,1,1.20,7-Jul,12-Jul,16-Jul,
758,NY07106-90,1262,,,40053,4,0,0,5,3,2.40,7-Jul,12-Jul,16-Jul,
263,CaledoniaResel.L,1263,,,55444,5,5,4,4,4,4.40,7-Jul,12-Jul,16-Jul,
748,NY07103-137,1267,,,01245,0,1,2,4,5,2.40,7-Jul,12-Jul,16-Jul,
7088,NY7088,1269,,,41133,4,1,1,3,3,2.40,7-Jul,12-Jul,16-Jul,
489,FS_430W,1270,,,20213,2,0,2,1,3,1.60,7-Jul,12-Jul,16-Jul,
666,93308,1271,,,23320,2,3,3,2,0,2.00,7-Jul,12-Jul,16-Jul,
573,NY99027-317,1272,,,45454,4,5,4,5,4,4.40,7-Jul,12-Jul,16-Jul,
553,NY03010-252,1273,,,45443,4,5,4,4,3,4.00,7-Jul,12-Jul,16-Jul,
746,NY07103-148,1276,,,44345,4,4,3,4,5,4.00,7-Jul,12-Jul,16-Jul,
598,8080xCal-225-437,1277,,,55446,5,5,4,4,6,4.80,7-Jul,12-Jul,16-Jul,
500,NY99049-128,1278,,,42445,4,2,4,4,5,3.80,7-Jul,12-Jul,16-Jul,
543,NY03010-229,1279,,,23043,2,3,0,4,3,2.40,7-Jul,12-Jul,16-Jul,
589,NY03110-1-2-5-6-362,1280,,,4551-,4,5,5,1,-,3.75,7-Jul,12-Jul,16-Jul,
33,Geneva,1282,,,62433,6,2,4,3,3,3.60,7-Jul,12-Jul,16-Jul,
547,NY99034-237,1285,,,10011,1,0,0,1,1,0.60,7-Jul,12-Jul,16-Jul,
715,99069-WC,1286,,,44454,4,4,4,5,4,4.20,7-Jul,12-Jul,16-Jul,
Jen,Jensen,1287,,,34444,3,4,4,4,4,3.80,7-Jul,12-Jul,16-Jul,
651,NY03087&88,1288,,,66664,6,6,6,6,4,5.60,7-Jul,12-Jul,16-Jul,
187,96153,1291,,,54554,5,4,5,5,4,4.60,7-Jul,12-Jul,16-Jul,
7088,NY7088,1292,,,24242,2,4,2,4,2,2.80,7-Jul,12-Jul,16-Jul,
691,Whatford/7388 - 189,1293,,,52627,5,2,6,2,7,4.40,7-Jul,12-Jul,16-Jul,
146,96153,1297,,,44234,4,4,2,3,4,3.40,7-Jul,12-Jul,16-Jul,
Rich,Richland,1299,,,65654,6,5,6,5,4,5.20,7-Jul,12-Jul,16-Jul,
719,NY04056-1-BC,1300,,,25257,2,5,2,5,7,4.20,7-Jul,12-Jul,16-Jul,
521,NY03082-183,1302,,,44544,4,4,5,4,4,4.20,7-Jul,12-Jul,16-Jul,
117,94063,1303,,,24234,2,4,2,3,4,3.00,7-Jul,12-Jul,16-Jul,
774,07063-1-45,1304,,,42424,4,2,4,2,4,3.20,7-Jul,12-Jul,16-Jul,
Cal,Caledonia,1305,,,23556,2,3,5,5,6,4.20,7-Jul,12-Jul,16-Jul,
288,Pioneer_25W36,1310,,,31101,3,1,1,0,1,1.20,7-Jul,12-Jul,16-Jul,
580,NY03082-336,1311,,,33444,3,3,4,4,4,3.60,7-Jul,12-Jul,16-Jul,
405,NY07014-141,1312,,,35335,3,5,3,3,5,3.80,7-Jul,12-Jul,16-Jul,
605,E2041,1313,,,54335,5,4,3,3,5,4.00,7-Jul,12-Jul,16-Jul,
566,NY01018-303,1314,,,00000,0,0,0,0,0,0.00,7-Jul,12-Jul,16-Jul,
246,99038,1315,,,54554,5,4,5,5,4,4.60,7-Jul,12-Jul,16-Jul,
413,NY07023-150,1316,,,36744,3,6,7,4,4,4.80,7-Jul,12-Jul,16-Jul,
508,NY99049-144,1317,,,48867,4,8,8,6,7,6.60,7-Jul,12-Jul,16-Jul,
281,NYW103.226.9195,1318,,,31041,3,1,0,4,1,1.80,7-Jul,12-Jul,16-Jul,
575,NY99069-323,1319,,,55555,5,5,5,5,5,5.00,7-Jul,12-Jul,16-Jul,
527,NY03008-200,1320,,,44656,4,4,6,5,6,5.00,7-Jul,12-Jul,16-Jul,
669,94025,1323,,,22300,2,2,3,0,0,1.40,7-Jul,12-Jul,16-Jul,
590,NY99049-364,1324,,,45454,4,5,4,5,4,4.40,7-Jul,12-Jul,16-Jul,
46,94032,1329,,,14444,1,4,4,4,4,3.40,7-Jul,12-Jul,16-Jul,
495,NY99049-117,1332,,,44766,4,4,7,6,6,5.40,7-Jul,12-Jul,16-Jul,
567,NY03100-307,1333,,,45526,4,5,5,2,6,4.40,7-Jul,12-Jul,16-Jul,
572,NY01066-313,1334,,,44444,4,4,4,4,4,4.00,7-Jul,12-Jul,16-Jul,
Rich,Richland,1335,,,44355,4,4,3,5,5,4.20,7-Jul,12-Jul,16-Jul,
126,96153,1336,,,44444,4,4,4,4,4,4.00,7-Jul,12-Jul,16-Jul,
