Source,Entry,PLOT,Sprout Score,,,,,,,Harvested,Other
Cald,Caledonia,3067,37767,3,7,7,6,7,6,7/2/2010,
547,NY99034-237,3069,11031,1,1,0,3,1,1.2,7/2/2010,
550,NY99069-249,3070,71766,7,1,7,6,6,5.4,7/2/2010,
570,NY03015-311,3075,67787,6,7,7,8,7,7,7/2/2010,
120,94052,3076,16213,1,6,2,1,3,2.6,7/2/2010,
56,W105-78,3077,5043,0,5,0,4,3,2.4,7/2/2010,
549,99068-248,3078,1510,0,1,5,1,0,1.4,7/2/2010,
NY,NY7088,3080,14213,1,4,2,1,3,2.2,7/2/2010,
150,94046,3081,33755,3,3,7,5,5,4.6,7/2/2010,
179,94064,3082,65545,6,5,5,4,5,5,7/2/2010,
Jen,Jensen,3083,52241,5,2,2,4,1,2.8,7/2/2010,
574,NY03100-321,3085,63045,6,3,0,4,5,3.6,7/2/2010,
532,"NY03110,1,2,5,6-212",3086,25165,2,5,1,6,5,3.8,7/2/2010,
Cald,Caledonia,3087,56676,5,6,6,7,6,6,7/2/2010,
402,NY07011-138,3088,77766,7,7,7,6,6,6.6,7/2/2010,
280,NYW103-193-9172,3090,20024,2,0,0,2,4,1.6,7/2/2010,
144,96052,3093,35415,3,5,4,1,5,3.6,7/2/2010,
591,NY01066-367,3094,35455,3,5,4,5,5,4.4,7/2/2010,
NY,NY7088,3098,55445,5,5,4,4,5,4.6,7/2/2010,
534,NY01005-216,3103,14513,1,4,5,1,3,2.8,7/2/2010,
557,NY01062-272,3105,11051,1,1,0,5,1,1.6,7/2/2010,
506,"NY03110,1,2,5,6-142",3110,35166,3,5,1,6,6,4.2,7/2/2010,
491,NY99028-111,3111,33656,3,3,6,5,6,4.6,7/2/2010,
332,96185,3115,54655,5,4,6,5,5,5,7/2/2010,
599,8080xCal-105-440,3116,31223,3,1,2,2,3,2.2,7/2/2010,
93,94042,3118,45146,4,5,1,4,6,4,7/2/2010,
584,NY99069-352,3119,55166,5,5,1,6,6,4.6,7/2/2010,
Cald,Caledonia,3122,36756,3,6,7,5,6,5.4,7/2/2010,
Rich,Richland,3123,66664,6,6,6,6,4,5.6,7/2/2010,
407,NY07016-143,3124,65554,6,5,5,5,4,5,7/2/2010,
542,NY01069-228,3126,55211,5,5,2,1,1,2.8,7/2/2010,
Jen,Jensen,3127,43534,4,3,5,3,4,3.8,7/2/2010,
540,NY00012-226,3128,15535,1,5,5,3,5,3.8,7/2/2010,
Jen,Jensen,3134,46450,4,6,4,5,0,3.8,7/2/2010,
497,NY01003-119,3135,21314,2,1,3,1,4,2.2,7/2/2010,
501,NY03093&94-130,3136,46766,4,6,7,6,6,5.8,7/2/2010,
554,NY99025-261,3137,65756,6,5,7,5,6,5.8,7/2/2010,
498,"NY03110,1,2,5,6-120",3138,21351,2,1,3,5,1,2.4,7/2/2010,
282,NYW103-57-9222,3139,63244,6,3,2,4,4,3.8,7/2/2010,
365,99042,3140,43346,4,3,3,4,6,4,7/2/2010,
Cald,Caledonia,3141,68887,6,8,8,8,7,7.4,7/2/2010,
300,96009,3142,70878,7,0,8,7,8,6,7/2/2010,
136,94025,3144,27565,2,7,5,6,5,5,7/2/2010,
422,MSU Line E6048,3145,46575,4,6,5,7,5,5.4,7/2/2010,
589,"NY03110,1,2,5,6-362",3151,35656,3,5,6,5,6,5,7/2/2010,
NY,NY7088,3155,11230,1,1,2,3,0,1.4,7/2/2010,
598,8080xCal-225-437,3160,26456,2,6,4,5,6,4.6,7/2/2010,
Rich,Richland,3161,57763,5,7,7,6,3,5.6,7/2/2010,
266,PioneerVar25W41,3162,35321,3,5,3,2,1,2.8,7/2/2010,
426,TW435-025,3167,26633,2,6,6,3,3,4,7/2/2010,
533,NY01066-215,3168,46883,4,6,8,8,3,5.8,7/2/2010,
527,NY03008-200,3170,56767,5,6,7,6,7,6.2,7/2/2010,
512,NY03010-157,3171,5-245,5,-,2,4,5,4,7/2/2010,
566,NY01018-303,3177,4050,0,4,0,5,0,1.8,7/2/2010,
Rich,Richland,3182,62774,6,2,7,7,4,5.2,7/2/2010,
NY,NY7088,3183,41213,4,1,2,1,3,2.2,7/2/2010,
597,8080x7388-160-419,3186,10,0,0,0,1,0,0.2,7/2/2010,
558,NY01066-273,3187,65563,6,5,5,6,3,5,7/2/2010,
168,94058,3188,47556,4,7,5,5,6,5.4,7/2/2010,
NY,NY7088,3189,63015,6,3,0,1,5,3,7/2/2010,
531,NY99048-205,3192,56636,5,6,6,3,6,5.2,7/2/2010,
