"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00987611539461145,0.0136879494065668,0.0189725374685957,0.0473880273758988,0.156198561898986,0.586762540067573,0.799532184007624
"0.05",0.0499003725201421,0.0641947500649744,0.0803950446157845,0.154206012301828,0.357532703803171,0.769643940050247,0.910075370354327
"0.1",0.099887377631465,0.122845014294378,0.152473360478212,0.25054145369488,0.500476479251494,0.853417655722083,0.946461058650264
"0.2",0.199861387854111,0.232261976955731,0.269340725981114,0.413064194750065,0.704409598891103,0.9287013774582,0.971757775275058
"0.3",0.299835398076756,0.34445118253487,0.396170839469809,0.562851944901672,0.834964913800572,0.962401455427532,0.98813133500823
"0.4",0.399896040890583,0.453434982240319,0.506107597678247,0.694620116087672,0.911721389586763,0.983539807675648,0.993329290479078
"0.5",0.499870051113229,0.562245516763406,0.625660573507754,0.817291865199688,0.954344624447717,0.991596638655462,0.997747552629299
"0.6",0.599757428744694,0.664645239539115,0.729359785151174,0.906350168933553,0.980161136619596,0.995928268214502,0.999306939270554
"0.7",0.699904704149701,0.762713332755783,0.827774408732565,0.959975742874469,0.991076843108377,0.999306939270554,0.999740102226458
"0.8",0.799878714372347,0.867018972537469,0.93415923070259,0.990557047561293,0.998700511132288,0.999740102226458,1
"0.9",0.899852724594993,0.967339513124838,0.991943169020185,0.999220306679373,1,1,1
"1",0.999913367408819,1,1,1,1,1,1
