"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.00983521697869036,0.012509705806229,0.0157881114657924,0.0344232594254163,0.122163747735312,0.479164869295143,0.670865326546458
"0.05",0.0498662755586231,0.0637563626951946,0.0810974031576223,0.15365369683375,0.338279699767061,0.685531878181348,0.829091536536968
"0.1",0.099905098783539,0.123199033733069,0.149081183676991,0.24777844879648,0.492019670433957,0.782848761970494,0.887326373910793
"0.2",0.199896471400224,0.234233456992494,0.269692002415667,0.408679147614529,0.675351565870072,0.870416702614097,0.959710119920628
"0.3",0.29988784401691,0.340522819428867,0.392373393149858,0.559399534121301,0.785782072297472,0.935553446639634,0.984125614701061
"0.4",0.399879216633595,0.451384695022,0.50875679406436,0.69674747649038,0.867138296954534,0.979811923043741,0.992666724182555
"0.5",0.499611767750841,0.561642653783108,0.626002933310327,0.810025019411612,0.924941765162626,0.990682426020188,0.997756880338193
"0.6",0.599861961866966,0.663445776895867,0.727806056423087,0.8871538262445,0.975153136053835,0.997411785005608,0.999396083167975
"0.7",0.699853334483651,0.767664567336727,0.84082477784488,0.95461996376499,0.994564748511776,0.999482357001122,0.999913726166854
"0.8",0.799844707100337,0.881718574756276,0.943749460788543,0.994392200845484,0.999223535501682,1,1
"0.9",0.899836079717022,0.96997670606505,0.990682426020188,0.999741178500561,1,1,1
"1",0.999913726166854,1,1,1,1,1,1
